title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;
Toko Sembako Ady Laris Jaya;4.8;12;Jl. Parakan Saat No.9;Kota Bandung;Jawa Barat;ID;;+62 857-9530-3552;Toko Perlengkapan Rumah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Ady%20Laris%20Jaya&query_place_id=ChIJ8yxg6grpaC4ReftD7f1pLZM;Toko Perlengkapan Rumah;;;;;
Warung Kelontong Vanitha Jaya;3;1;Jl. AH. Nasution No.99;Kota Bandung;Jawa Barat;ID;;+62 822-9783-1520;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kelontong%20Vanitha%20Jaya&query_place_id=ChIJp4_zu6PdaC4RMCGtmhFiK7I;Toko bahan makanan;;;;;
Toko kelontong;;;2MWH+3X3, Jl. Keadilan IX;Kota Bandung;Jawa Barat;ID;;;Kedai Sarapan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20kelontong&query_place_id=ChIJ7zJnGgDDaC4RuRxjGHhJUPY;Kedai Sarapan;;;;;
TOKO CILACAP;4.2;62;Jl. Terbang Layang No.68;Kota Bandung;Jawa Barat;ID;;+62 22 7104518;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20CILACAP&query_place_id=ChIJuxrnxFTdaC4RJIJH5sMK1hQ;Toko Kelontong Asia;;;;;
Warung Sabqi;;;Jl. Marga Makmur No.10;Kota Bandung;Jawa Barat;ID;;+62 877-2500-8383;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sabqi&query_place_id=ChIJKaXh_KzpaC4Ro6G5Oi-SqN0;Toko Kelontong Asia;;;;;
Toko Sembako Übêna Mart;5;6;Jl. Purwakarta No.230;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20%C3%9Cb%C3%AAna%20Mart&query_place_id=ChIJ312RFfrnaC4R5DwITnov8lo;Toko bahan makanan;;;;;
Toko Kelontong Sibungsu;;;Jl. Cijawura Hilir II No.45;Kota Bandung;Jawa Barat;ID;;+62 821-3987-4302;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Kelontong%20Sibungsu&query_place_id=ChIJr5bgM-3paC4RLzPH3DKztrc;Minimarket;;;;;
Warung sayur dan sembako (toko AZ);4.8;8;Jl. Neptunus Timur I No.48a;Kota Bandung;Jawa Barat;ID;;+62 853-8526-8844;Toko Swalayan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sayur%20dan%20sembako%20(toko%20AZ)&query_place_id=ChIJZU30WynpaC4RD0z2pW3rIzU;Toko Swalayan;;;;;
Waroeng Kelontong Mang Obay;4;1;Jl.Masini No.107;Kota Bandung;Jawa Barat;ID;;+62 822-1486-0019;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Waroeng%20Kelontong%20Mang%20Obay&query_place_id=ChIJs0EbZSnDaC4RkKJ0pDwURUk;Toko bahan makanan;;;;;
Toko Grosir Nugi;4.2;52;Jl. Babakan Sari No.165;Kota Bandung;Jawa Barat;ID;;+62 22 7237989;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Grosir%20Nugi&query_place_id=ChIJixhOrePnaC4R-IRm_cgWAKU;Grosir Barang Kelontong;;;;;
Toko Utama Mandiri;4.3;10;Jl. Raya Cibiru No.1;Kota Bandung;Jawa Barat;ID;;+62 878-2433-5948;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Utama%20Mandiri&query_place_id=ChIJER-S1ifDaC4R7-M9CVedCL4;Grosir Barang Kelontong;;;;;
WARUNG SEMBAKO MBAK DESI;5;2;Kp. Mekarsari No.47, RT.007/RW.001;Kota Bandung;Jawa Barat;ID;;+62 895-4212-11772;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=WARUNG%20SEMBAKO%20MBAK%20DESI&query_place_id=ChIJZWRTtyvdaC4RBAKAI89otOU;Pusat Perbelanjaan;;;;;
Toko Sembako Alfarizqi;4;2;3P89+893, Jl. Manisi;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Alfarizqi&query_place_id=ChIJrxn_HQDDaC4RPjdnMT0t-uo;Toko;;;;;
WARUNG SEMBAKO 35;;;3PR2+QPV, Jl. Cikoang Kidul;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=WARUNG%20SEMBAKO%2035&query_place_id=ChIJqQpFizzdaC4Rp39hlBrS0bo;Toko bahan makanan;;;;;
Rg Warung Sembako Lestari;5;1;3M5M+GPJ, Jl. Riung Endah;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rg%20Warung%20Sembako%20Lestari&query_place_id=ChIJ5cU1erzCaC4RzRMm06fDlOk;Toko bahan makanan;;;;;
Warung sembako Suryalaya;5;2;Jl. Neglasari I No.12-10;Kota Bandung;Jawa Barat;ID;;+62 857-9700-1933;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20Suryalaya&query_place_id=ChIJn8mPvqHdaC4RI9NwrO3WRo0;Toko;;;;;
Toko Sembako Rasendra;5;1;Jl. Raya Derwati No.36;Kota Bandung;Jawa Barat;ID;;+62 821-1806-1021;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Rasendra&query_place_id=ChIJr42COQDDaC4R5A_ku3UPPDE;Toko bahan makanan;;;;;
Warung Sembako dan Beras Haji Buloh;4.6;12;Gg. Mekarjati 6 No.108;Kota Bandung;Jawa Barat;ID;;+62 857-2217-6968;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20dan%20Beras%20Haji%20Buloh&query_place_id=ChIJ98fYHizDaC4RtX-Bu__sECo;Toko bahan makanan;;;;;
Warung Sayur & Sembako;4.5;34;Jl. Pinus VIII No.40;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sayur%20%26%20Sembako&query_place_id=ChIJx8Jo-PXCaC4RwPS-e9YaylQ;Toko bahan makanan;;;;;
LAUTAN SEMBAKO;4.5;141;raya no 14, cipicung, ujungberung, timur, Jl. Cinangka;Kota Bandung;Jawa Barat;ID;;+62 822-9826-1683;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LAUTAN%20SEMBAKO&query_place_id=ChIJT98P86vdaC4Rjl9j0AMUX9I;Pusat Perbelanjaan;;;;;
Warung Bapak Muhardi;5;2;Jl. AH. Nasution Gg. Andir Kidul III No.16, RT.01/RW.3;Kota Bandung;Jawa Barat;ID;;+62 878-3531-7631;Toko sembako pemerintah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bapak%20Muhardi&query_place_id=ChIJyXwLhDvdaC4RjH3qI-4Nswg;Toko sembako pemerintah;;;;;
Toko Berkah Abadi (Grosir Kelontongan);4.9;8;Jl. Nagrog No.53;Kota Bandung;Jawa Barat;ID;;+62 899-6305-642;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Berkah%20Abadi%20(Grosir%20Kelontongan)&query_place_id=ChIJIWPTwDrdaC4RY58UU5MDLIQ;Grosir Barang Kelontong;;;;;
warung sayur & sembako bangkit jaya Riung bandung;5;2;Jl. Riung Hegar Raya No.8b;Kota Bandung;Jawa Barat;ID;;+62 813-1333-9792;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=warung%20sayur%20%26%20sembako%20bangkit%20jaya%20Riung%20bandung&query_place_id=ChIJQcJck47DaC4RpESBdUA9DPg;Toko;;;;;
WARUNG SEMBAKO MITRA GROSIR;5;1;2MRP+PP2, Gg. Yadista;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=WARUNG%20SEMBAKO%20MITRA%20GROSIR&query_place_id=ChIJARjDMADDaC4Ruqzmw27zKtQ;Toko bahan makanan;;;;;
Toko Nandang;4.7;3;Jl. Gedebage Selatan No.104;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;Toko bahan makanan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Nandang&query_place_id=ChIJpQ8EEL_CaC4R7iWEsNjnF4g;Toko Kelontong Asia;;;;;
Warung 117;4.7;3;3P98+78M, Jl. Gg. Kujang;Kota Bandung;Jawa Barat;ID;;+62 22 92314521;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20117&query_place_id=ChIJz_SSLNbCaC4R_22Td3dxpLc;Minimarket;;;;;
warung bu dida;4.4;8;2MMQ+M6M Gg.cuplis;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=warung%20bu%20dida&query_place_id=ChIJkzyLL0jDaC4RpQrc-Kb8ftw;Toko Kelontong Asia;;;;;
Toko Amira Warung Sayur dan Sembako Cisaranten Kulon;4.6;59;Jl. Cisaranten Kulon VIII No.63A;Kota Bandung;Jawa Barat;ID;;+62 812-8080-4494;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Amira%20Warung%20Sayur%20dan%20Sembako%20Cisaranten%20Kulon&query_place_id=ChIJf6EugDLdaC4RiQM5xmVZFr4;Toko bahan makanan;;;;;
Warung Honey;5;19;Jl. Buni Sari No.243, RT.05/RW.07;Kota Bandung;Jawa Barat;ID;;+62 895-6054-12718;Grosir Barang Kelontong;Toko bahan makanan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Honey&query_place_id=ChIJ4YDSSwDnaC4RB7SLR2KNVnE;Grosir Barang Kelontong;;;;;
warung A26;5;2;3P65+F6R, Unnamed Road;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=warung%20A26&query_place_id=ChIJaQGAM6bDaC4RZEhWXlOwjfw;Toko Kelontong Asia;;;;;
Toko Sembako Pak Amir (almira);4.7;32;3M79+GJP, Jl. Parakansaat ll;Kota Bandung;Jawa Barat;ID;;+62 857-5934-1488;Grosir Barang Kelontong;Toko Mainan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Pak%20Amir%20(almira)&query_place_id=ChIJ56SmAKjCaC4R_hNJEfrr8Qo;Grosir Barang Kelontong;;;;;
Warung Ruko - Kelontongan;5;1;3PP2+94V;Kota Bandung;Jawa Barat;ID;;+62 856-5905-8961;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Ruko%20-%20Kelontongan&query_place_id=ChIJ0QwVKx3daC4ROaRoUyAO1AA;Toko;;;;;
Cwarung Panasaran;4.8;5;3P98+F9R, Jl. Gg. Kujang;Kota Bandung;Jawa Barat;ID;;+62 857-9576-0484;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Cwarung%20Panasaran&query_place_id=ChIJu8QqKdbCaC4R_R8ZociVqZo;Minimarket;;;;;
Warung Wulan;5;4;Jl. Cingised No.207;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Wulan&query_place_id=ChIJTcJz1dbDaC4Refg_Y7mKCHs;Toko bahan makanan;;;;;
TOKO BAROKAH;4.9;53;3P57+2PW;Kota Bandung;Jawa Barat;ID;;+62 877-2003-5543;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20BAROKAH&query_place_id=ChIJ83tqCmnDaC4RtYatFm9jOnc;Toko bahan makanan;;;;;
WARUNG SEMBAKO IBU BETI;5;31;Jl Sekedangdeur No 28, RT.05/RW.10, Pasanggrahan, Kec. Ujung Berung;Kota Bandung;Jawa Barat;ID;;+62 877-3866-5859;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=WARUNG%20SEMBAKO%20IBU%20BETI&query_place_id=ChIJE7iX8xbdaC4RXcN0fWIOs1o;Toko bahan makanan;;;;;
Warung Bu Tatang;5;4;Jl. Keadilan III No.2;Kota Bandung;Jawa Barat;ID;;+62 813-2148-4165;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bu%20Tatang&query_place_id=ChIJ4c9UnVHDaC4RO4jtRx2v4k0;Toko Kelontong Asia;;;;;
Warung Kelontong Dan Londry Puspita;5;2;Jl. Cisaranten Wetan III No.50;Kota Bandung;Jawa Barat;ID;;;Toko Swalayan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Kelontong%20Dan%20Londry%20Puspita&query_place_id=ChIJl5bmm9XDaC4RycerNB6IxnI;Toko Swalayan;;;;;
Toko Tas Dan Perawatan Bahan Dasar Kulit;4.7;26;Jl. Rereng Adumanis No.10;Kota Bandung;Jawa Barat;ID;;+62 821-3600-8687;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tas%20Dan%20Perawatan%20Bahan%20Dasar%20Kulit&query_place_id=ChIJ0QJP3K_naC4RVp7kec-NVWw;Toko Tas;;;;;
Warung mbak;;;Jl. Sukahaji No.Gg 02, RT.02/RW.07;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20mbak&query_place_id=ChIJbeUGVADnaC4RHjPJttTN_6g;Toko Kelontong Asia;;;;;
Toko Sembako Rizki Dua Putra;4.8;12;Jl. Rereongan Sarupi, Ciumbuleuit, Cidadap;Kota Bandung;Jawa Barat;ID;;+62 22 7302571;Warung nasi;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Rizki%20Dua%20Putra&query_place_id=ChIJKcRwetDmaC4R6O-i3fGeMx0;Warung nasi;;;;;
Kalimas Sukajadi;4.5;28;Jl. Sukajadi No.36;Kota Bandung;Jawa Barat;ID;;+62 22 2035210;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kalimas%20Sukajadi&query_place_id=ChIJEYfo3YrmaC4RveQs77w-mt8;Toko Pakaian;;;;;
Produsen Littlebee - Rumah Hanad Baby And Kids Shop;4.5;15;Perumahan mande Asri, Jl. Cikadut No.B9;Kota Bandung;Jawa Barat;ID;http://www.shopee.co.id/rumah_hanad;+62 856-5088-2629;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Produsen%20Littlebee%20-%20Rumah%20Hanad%20Baby%20And%20Kids%20Shop&query_place_id=ChIJ7cJYgIznaC4RIPs_PNm7XCg;Toko Pakaian;;;;;
Warung Bu Wiwin;5;1;Jl. Siliwangi Dalam No.1, RT.01/Rw01/RW.No. 91;Kota Bandung;Jawa Barat;ID;;+62 877-3142-4010;Grosir;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Bu%20Wiwin&query_place_id=ChIJY-F7nkjnaC4RUjxw2zOEg04;Grosir;;;;;
Warung mba;;;4HJM+8MGJl, Jl. Sukahaji Blk. B, RT.2RT.02/RW.07;Kota Bandung;Jawa Barat;ID;;+62 889-7084-3256;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20mba&query_place_id=ChIJNY3BQADnaC4RXS0vqNSH6_k;Toko Kelontong Asia;;;;;
Pasar Kaget Gasibu;4.7;31;Jl. Japati No.1;Kota Bandung;Jawa Barat;ID;;;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pasar%20Kaget%20Gasibu&query_place_id=ChIJ18-70nvnaC4R_hGvWaXH-YY;Pusat Perbelanjaan;;;;;
Yen's Baby & Kid Shop (Dakota);4.2;32;Jl. Dakota No.109;Kota Bandung;Jawa Barat;ID;http://www.yens.info/;+62 22 6027529;Toko Perlengkapan Bayi;Toko Pakaian Anak;Toko Aksesori Pakaian;Toko Mainan;;;;;;;https://www.google.com/maps/search/?api=1&query=Yen's%20Baby%20%26%20Kid%20Shop%20(Dakota)&query_place_id=ChIJ45IAqNXlaC4Rb2kbeLGRsOM;Toko Perlengkapan Bayi;;;;;
Baltos;4.3;29870;Jl. Tamansari;Kota Bandung;Jawa Barat;ID;https://www.baltos.id/;+62 859-2036-0388;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Baltos&query_place_id=ChIJFUA8f0XmaC4Rdn6f2BTP03E;Pusat Perbelanjaan;;;;;
TOKO SEMBAKO TEH NIA;;;Jl. Ciumbuleuit No.28;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SEMBAKO%20TEH%20NIA&query_place_id=ChIJo0GcrfbmaC4R2iGaSpGr3wc;Toko bahan makanan;;;;;
toko baju;;;ITC Kebon Kelapa, JL Pungkur 3rd Floor Blok B4;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=toko%20baju&query_place_id=ChIJ5fBeQennaC4RxVaYXTtHbdo;Toko Pakaian;;;;;
Warung Pak Nanang;5;5;4H3V+P7F, Jl. Cibarengkok;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Pak%20Nanang&query_place_id=ChIJS6OK_6XnaC4RKWbgVbQfBtE;Toko bahan makanan;;;;;
Warung sembako cucusarinengsih;;;Jl. Kp. Cimerang No.RT 05;Kabupaten Bandung Barat;Jawa Barat;ID;;;Kedai Sarapan & Makan Siang;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20cucusarinengsih&query_place_id=ChIJO5GXBgDnaC4RmVvDuJpW7mw;Kedai Sarapan & Makan Siang;;;;;
Warung abah;4.6;8;Gg. IV;Kota Bandung;Jawa Barat;ID;;;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20abah&query_place_id=ChIJ4ZLNV3HnaC4RvHETE9adjAY;Pusat Perbelanjaan;;;;;
DTC - Kios Sembako;5;10;Blk. 7 No.83;Kota Bandung;Jawa Barat;ID;;+62 896-5224-6850;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=DTC%20-%20Kios%20Sembako&query_place_id=ChIJpSk5YkDnaC4R5GC5E95hUiA;Toko;;;;;
Toko beras naufal bandung;5;2;Jl. Karang Tineung Indah Dalam, RT.07/RW.04;Kota Bandung;Jawa Barat;ID;;+62 857-9720-0717;Toko sembako pemerintah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20beras%20naufal%20bandung&query_place_id=ChIJOQhf3wnnaC4RmwuPAveTgxk;Toko sembako pemerintah;;;;;
Masak Sayur Bandung;5;1;Pasar Blok K 17;Kota Bandung;Jawa Barat;ID;https://www.tokopedia.com/masaksayur;+62 823-1555-5262;Toko grosir buah dan sayur;Toko sembako pemerintah;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Masak%20Sayur%20Bandung&query_place_id=ChIJX9Y5NZjnaC4R0-eSPigAPPI;Toko grosir buah dan sayur;;;;;
"Kios Sembako ""Khanza""";;;4J24+HRW, Jl. Prof. Dr. Mochtar Kusumaatmadja;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kios%20Sembako%20%22Khanza%22&query_place_id=ChIJUdOAH0XmaC4RBQnsTBymbpQ;Toko bahan makanan;;;;;
Warung sembako;tambal ban dan vareasi plat nomor;5;4;Jl. Gegerkalong Girang No.110;Kota Bandung;Jawa Barat;ID;;+62 821-2690-0061;Bengkel Sepeda Motor;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%2Ctambal%20ban%20dan%20vareasi%20plat%20nomor&query_place_id=ChIJobD56vHnaC4RPi_PcYlGcz0;Bengkel Sepeda Motor;;;;
Warung/grosir;;;jln cikoang kaler No.12, RT.04/rw03;Kota Bandung;Jawa Barat;ID;;+62 838-7827-8633;Warung Makanan Kecil;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%2Fgrosir&query_place_id=ChIJ2-ZjS1HnaC4RiphTAcl2A8U;Warung Makanan Kecil;;;;;
Kios Sembako Kurdi;;;Ps. Sederhana, Jl. Sukamaju;Kota Bandung;Jawa Barat;ID;;;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kios%20Sembako%20Kurdi&query_place_id=ChIJZ1xldUDnaC4RhY2stsC6hAA;Pusat Perbelanjaan;;;;;
Toko Sabar Subur;4.6;49;Jl. Sarikaso III No.11;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sabar%20Subur&query_place_id=ChIJy8uPzZ7maC4RrJ56cPo-BGA;Toko;;;;;
Warung pidey;5;8;4J99+RXX, Jl. Bangbayang Gg. Regol, RT.05/RW.08;Kota Bandung;Jawa Barat;ID;;+62 896-1319-7455;Toko Swalayan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20pidey&query_place_id=ChIJgfPE8rDnaC4Ro1l6Wvd_Piw;Toko Swalayan;;;;;
TOKO SEMBAKO SANDI 2;;;4JQ4+H2H, Jl. Rereongan Sarupi, RT.5/RW.3;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SEMBAKO%20SANDI%202&query_place_id=ChIJl4_qDMTmaC4RNJIk5xvMcjc;Toko bahan makanan;;;;;
Toko Sembako Family;;;4JQ3+9XG;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Family&query_place_id=ChIJR53BRwDnaC4RtIvedzSag7o;Toko bahan makanan;;;;;
Toko Engseng;4.5;29;Jl. Puter No.2;Kota Bandung;Jawa Barat;ID;;+62 22 2500925;Minimarket;Toko Swalayan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Engseng&query_place_id=ChIJwydPxLLnaC4Rxgz97P7KiLo;Minimarket;;;;;
Zuper Bekaz;5;8;Jl. Jalaprang No.4;Kota Bandung;Jawa Barat;ID;;+62 813-1550-6545;Toko;Toko Barang Bekas;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Zuper%20Bekaz&query_place_id=ChIJ2RQXdzHnaC4RYN7YKJSF_l4;Toko;;;;;
Toko Sembako H.Mumun;;;4J59+4V8, Jl. Haur Pancuh;Kota Bandung;Jawa Barat;ID;;+62 22 2511443;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20H.Mumun&query_place_id=ChIJ60NSdwDnaC4R0iy4_lmtL90;Minimarket;;;;;
Sora underwear;4.4;8;BTC Fashion Mall GF L3 15, Jalan Dr. Djunjunan No. 143-149, Pajajaran, Cicendo, Kota Bandung, Jawa, Barat;Kota Bandung;Jawa Barat;ID;;+62 878-2521-7424;Toko Pakaian Dalam;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sora%20underwear&query_place_id=ChIJ5wedX3vmaC4R2a3ii-P2Hf8;Toko Pakaian Dalam;;;;;
Toko Online Baju NGATAPRAK;5;2;Jl. Kb. Bibit Barat No.45;Kota Bandung;Jawa Barat;ID;;+62 821-1541-4714;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Online%20Baju%20NGATAPRAK&query_place_id=ChIJy-gdUbPnaC4R4dN8KnIyuiE;Toko Pakaian;;;;;
Simpati Tailor;4.6;194;Jl. Sukagalih No.46;Kota Bandung;Jawa Barat;ID;http://simpatitailor.com/;+62 838-2270-8007;Penjahit;Penjahit Pesanan Khusus;Penjual Aksesori Jahit;Toko Alat Jahit;;;;;;;https://www.google.com/maps/search/?api=1&query=Simpati%20Tailor&query_place_id=ChIJbwMGNmHmaC4RHQHwZcE11ow;Penjahit;;;;;
Araya polyflex dan kaospolos;3;30;Balubur Town Square, Jl. Tamansari No.22 Lantai Dasar Blok P;Kota Bandung;Jawa Barat;ID;;+62 819-5899-9001;Toko Kaos;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Araya%20polyflex%20dan%20kaospolos&query_place_id=ChIJ_2GwQkXmaC4RKklze7fxxRQ;Toko Kaos;;;;;
Lavie Play House - Mainan;4.7;566;Jl. Imam Bonjol No.7;Kota Bandung;Jawa Barat;ID;https://linktr.ee/Lavie_BabyHouse?utm_source=gmaps;+62 22 2508800;Toko Mainan;Toko Perlengkapan Bayi;Layanan Binatu;;;;;;;;https://www.google.com/maps/search/?api=1&query=Lavie%20Play%20House%20-%20Mainan&query_place_id=ChIJ2f-9W1HmaC4RS67NNjXmI_8;Toko Mainan;;;;;
Rubylicious Warehouse;4.5;221;Jl. Prof. Dr. Sutami No.52A;Kota Bandung;Jawa Barat;ID;;+62 821-1222-8638;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rubylicious%20Warehouse&query_place_id=ChIJ19s7I6LmaC4RvPbLrx79hY0;Toko Pakaian;;;;;
Opelon;4.5;19;Paris Van Java, Jl. Sukajadi No.131-139 Blok B03;Kota Bandung;Jawa Barat;ID;http://www.opelongarment.com/;+62 851-0122-9624;Toko Pakaian Renang;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Opelon&query_place_id=ChIJ5S2ON2DmaC4R_Yba47gYPpM;Toko Pakaian Renang;;;;;
satu store;5;1;Jl. Diponegoro No.32;Kota Bandung;Jawa Barat;ID;;+62 821-1793-2917;Toko Kaos;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=satu%20store&query_place_id=ChIJv6JzgFjnaC4R48TFZB1WuP4;Toko Kaos;;;;;
STORE IVAN GUNAWAN PRIVE;4.9;45;Jl. Cikapayang No.3;Kota Bandung;Jawa Barat;ID;http://ivangunawanprive.com/;+62 811-3110-0061;Butik;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=STORE%20IVAN%20GUNAWAN%20PRIVE&query_place_id=ChIJzZWySJjnaC4Rz7wD7tzRiTQ;Butik;;;;;
Warung sembako rahmah;;;Jl. Cemp. No.108;Kota Bandung;Jawa Barat;ID;;+62 895-7010-66810;;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20rahmah&query_place_id=ChIJBxRyZgDlaC4RTdbmrd8eLW0;;;;;;
Warung Sembako Ibu Euis;;;4H9X+J53, Kampung, Jl. Karangsari Desa, RT./w/RW.004/003;Kabupaten Bandung Barat;Jawa Barat;ID;;+62 857-9825-2629;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Ibu%20Euis&query_place_id=ChIJC9dtFADnaC4R6eIAl22L5hY;Toko;;;;;
Toko sembako lubis 2;;;4HGJ+282, Jl. Cilandak;Kota Bandung;Jawa Barat;ID;;;Toko umum;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%20lubis%202&query_place_id=ChIJcb_2WQDnaC4RlgQUzuJjiO0;Toko umum;;;;;
