"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"BATAGOR 88 PASTEUR","4.4","31","Jl. Dr. Djunjunan No.135","Kota Bandung","Jawa Barat","ID",,"+62 838-2966-4455","Toko Makanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%2088%20PASTEUR&query_place_id=ChIJKRyl5WTmaC4RwzPJjrquIew","Toko Makanan"
"Batagor Haji Yunus","4.5","4058","Jl. Raya Kopo No.68, RT.10/RW.01","Kota Bandung","Jawa Barat","ID",,"+62 22 6005242","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Haji%20Yunus&query_place_id=ChIJkwFZMKDoaC4RV_j4dxJzhlY","Restoran"
"BATAGOR RIZKY dan RiRi","4","138","Jl. Dr. Djunjunan No.47","Kota Bandung","Jawa Barat","ID",,"+62 22 6075376","Toko",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20RIZKY%20dan%20RiRi&query_place_id=ChIJORGnBGbmaC4RimUSfiHKT8k","Toko"
"Batagor Mang Amay","5","13","Jl. Ciheulang, RT.02/RW.11","Kota Bandung","Jawa Barat","ID",,"+62 855-5924-9371","Toko Makanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Mang%20Amay&query_place_id=ChIJq0QlUADnaC4R-UsbGJqqIs4","Toko Makanan"
"Bakso Cuanki dan Batagor Serayu","4.5","14647","Jl. Serayu No.2","Kota Bandung","Jawa Barat","ID",,"+62 812-2163-6600","Restoran Bakso","Restoran Indonesia",,,,,,,"https://www.google.com/maps/search/?api=1&query=Bakso%20Cuanki%20dan%20Batagor%20Serayu&query_place_id=ChIJkyME0c7naC4R2ZGOhU_502o","Restoran Bakso"
"Batagor Riri","4.2","4373","Jl. Burangrang No.41","Kota Bandung","Jawa Barat","ID","http://www.facebook.com/batagorriri","+62 22 7303349","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Riri&query_place_id=ChIJmX9ZmirmaC4RiBYPV46w-Fg","Restoran Sunda"
"Batagor Kahuripan","4.6","501","Ps. Cihapit, Blok KB No.6","Kota Bandung","Jawa Barat","ID",,"+62 811-2099-889","Warung Makanan Kecil",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Kahuripan&query_place_id=ChIJ8ck8ofDnaC4RGmMuUGu7ES8","Warung Makanan Kecil"
"Cuanki dan Batagor Serayu Cabang Sidomukti","4.6","219","Jl. Sidomukti No.99a","Kota Bandung","Jawa Barat","ID",,"","Restoran cepat saji",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cuanki%20dan%20Batagor%20Serayu%20Cabang%20Sidomukti&query_place_id=ChIJlS0FI43naC4RNVWc7fUbclw","Restoran cepat saji"
"Batagor, siomay dan basotahu HOKKIE 11","4.5","255","SEBELUM atau SAMPING ALFA MART DRIVE THRU, Jl. Cihampelas No.115","Kota Bandung","Jawa Barat","ID",,"+62 817-215-380","Restoran Bakso",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%2C%20siomay%20dan%20basotahu%20HOKKIE%2011&query_place_id=ChIJvWv3qkTmaC4RG4B4tnRV95A","Restoran Bakso"
"Pempek & Batagor Jeol (Oleh-Oleh Bandung)","4.7","151","Jl. Rereng Wulung No.23","Kota Bandung","Jawa Barat","ID","https://jeolfood.carrd.co/","+62 899-9079-929","Restoran Pempek","Toko Suvenir",,,,,,,"https://www.google.com/maps/search/?api=1&query=Pempek%20%26%20Batagor%20Jeol%20(Oleh-Oleh%20Bandung)&query_place_id=ChIJ8Tl47BbnaC4R0HjWRI50OAY","Restoran Pempek"
"BATAGOR BURANGRANG","4.5","451","Jl. Kb. Jukut No.7","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/batagorburangrangkj07","+62 878-2263-2100","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20BURANGRANG&query_place_id=ChIJ8xfivjvmaC4R6GJFN5O3fe4","Restoran"
"Batagor ""Heritage"" RE Martadinata Bandung","4.9","11","3JV8+QP8, Jl. Banda","Kota Bandung","Jawa Barat","ID",,"+62 812-2923-7815","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20%22Heritage%22%20RE%20Martadinata%20Bandung&query_place_id=ChIJV1CYPQDnaC4RQKLJcztN3Xc","Restoran Indonesia"
"BATAGOR RIFANIA","4.9","46","Jl. Kebon Bibit No.09","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BATAGOR%20RIFANIA&query_place_id=ChIJAZEk0ADnaC4RVI1nCiYXY5s","Restoran Sunda"
"Batagor & Baso Simpang Dago (BSD)","4.3","1043","Jl. Ir. H. Juanda No.218","Kota Bandung","Jawa Barat","ID",,"+62 22 2504827","Restoran","Restoran Bakso","Kedai Sarapan",,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20%26%20Baso%20Simpang%20Dago%20(BSD)&query_place_id=ChIJy33kfEjmaC4Ry3AWucKzAVk","Restoran"
"Batagor Enak H. Ihsan","4.6","692","Jl. Khp Hasan Mustopa No.117","Kota Bandung","Jawa Barat","ID",,"+62 857-2005-4755","Restoran","Rumah Makan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Enak%20H.%20Ihsan&query_place_id=ChIJCSLb25XnaC4RiVAH-2tDMw0","Restoran"
"Batagor Kingsley","4.2","12157","Jl. Veteran No.25","Kota Bandung","Jawa Barat","ID",,"+62 22 4207104","Restoran Sunda","Restoran",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Kingsley&query_place_id=ChIJ2Qhn3y3maC4Rvm5p6Atzj3s","Restoran Sunda"
"Batagor H. Darto","4.3","1096","Jl. Ir. H. Juanda No.202, RW.01","Kota Bandung","Jawa Barat","ID",,"+62 812-2184-1382","Restoran","Rumah Makan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20H.%20Darto&query_place_id=ChIJ6f62cXxXei4REPB4mfhCloA","Restoran"
"Batagor Priangan Khas Bandung","4.7","111","Jl. Sekeloa Sel. II No.15","Kota Bandung","Jawa Barat","ID",,"","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Batagor%20Priangan%20Khas%20Bandung&query_place_id=ChIJ55a7vS_naC4RH5d5dwjrgRw","Restoran Indonesia"
"Oleh Oleh Bandung | Batagor Coy | Kuliner Bandung Paling Dicari","4.5","626","Jl. Ir. H. Juanda No.91","Kota Bandung","Jawa Barat","ID",,"+62 812-1231-2334","Restoran Sunda","Restoran Jawa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Oleh%20Oleh%20Bandung%20%7C%20Batagor%20Coy%20%7C%20Kuliner%20Bandung%20Paling%20Dicari&query_place_id=ChIJ_zm31FHmaC4REH38Wr-v004","Restoran Sunda"
"Mie Kocok Ibu Ating","4.3","3","Jl. Gagak No.8","Kota Bandung","Jawa Barat","ID",,"","Restoran Mie",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mie%20Kocok%20Ibu%20Ating&query_place_id=ChIJ24WQXrnnaC4ReaUPLZ5yNTk","Restoran Mie"
"Bakso Cuanki Tetelan Babakan",,,"Jl. Babakan Baru No.85, RT.01/RW.07","Kota Bandung","Jawa Barat","ID",,"+62 821-1844-8103","Pusat jajanan kaki lima",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bakso%20Cuanki%20Tetelan%20Babakan&query_place_id=ChIJp4-WakHnaC4RPV0JsMXWLhI","Pusat jajanan kaki lima"
"Aufa Baso Cuanki","4.5","4","4H2R+GH3","Kota Bandung","Jawa Barat","ID",,"+62 895-7499-93932","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aufa%20Baso%20Cuanki&query_place_id=ChIJo5IsTm_maC4RjE90_8EOpZo","Restoran"
"Queen Martabak Pasteur","4.8","51","Jl. DR. Djunjunan Dalam I No.3","Kota Bandung","Jawa Barat","ID",,"+62 838-0877-4321","Restoran Martabak",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Queen%20Martabak%20Pasteur&query_place_id=ChIJNapRy2nmaC4RFlb_y-WMC6Y","Restoran Martabak"
"Sate Sampurna Khas Madura Cak Ken",,,"Jl. Sampurna","Kota Bandung","Jawa Barat","ID",,"+62 819-9991-3399","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Sampurna%20Khas%20Madura%20Cak%20Ken&query_place_id=ChIJqa7bdOTnaC4RH6v11n8HLZI","Restoran Sate"
"One of Cuanki Hawker","4","1","3JXF+HJW","Kota Bandung","Jawa Barat","ID",,"","Pujasera",,,,,,,,"https://www.google.com/maps/search/?api=1&query=One%20of%20Cuanki%20Hawker&query_place_id=ChIJa1NR-8TnaC4RkP-xNrXf6vo","Pujasera"
"Rumah makan padang Rajo Bungsu","4","115","Jl. Gegerkalong Girang No.75","Kota Bandung","Jawa Barat","ID",,"+62 878-2559-4559","Restoran Padang",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20makan%20padang%20Rajo%20Bungsu&query_place_id=ChIJt2UREgTnaC4RKYQKeFXzm74","Restoran Padang"
"Nasi Goreng GOR-BITES","5","10","Jl. L. L. R.E. Martadinata No.83","Kota Bandung","Jawa Barat","ID",,"","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20GOR-BITES&query_place_id=ChIJtxaoQQDnaC4RSe2YKZc5m38","Restoran Nasi Goreng"
"Nasi Goreng Sinar Patromax","4.7","12","Dago Suites Apartment","Kota Bandung","Jawa Barat","ID",,"+62 823-2443-8392","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Sinar%20Patromax&query_place_id=ChIJEVe2tdnnaC4R7Ii4Zn0m5qI","Restoran Nasi Goreng"
"Solo Bakso","4.7","48","4H6V+9JG, Gg Bpk Elas Jalan Sukajadi","Kota Bandung","Jawa Barat","ID",,"+62 813-2298-3453","Restoran Bakso","Rumah Makan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Solo%20Bakso&query_place_id=ChIJawBKuGHmaC4RMmY7I1TNbKg","Restoran Bakso"
"Nasi Goreng pegenen sendekala","5","1","Jl. Cipedes Tengah No.64 B","Kota Bandung","Jawa Barat","ID",,"+62 813-2149-8706","Restoran","Restoran Nasi Goreng",,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20pegenen%20sendekala&query_place_id=ChIJRUsouyjnaC4Rkw1aSdovb7U","Restoran"
"Baso Solo Baru","4.6","57","Jl. Dr. Djunjunan No.17","Kota Bandung","Jawa Barat","ID",,"+62 812-1476-5178","Restoran Bakso",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Baso%20Solo%20Baru&query_place_id=ChIJc826TWjmaC4RkzmdTC9gqh0","Restoran Bakso"
"Nasi Goreng & Ayam Goreng Aneka Racun","4.8","22","Jl. Cikutra Barat No.Kel No. 98","Kota Bandung","Jawa Barat","ID",,"+62 813-2428-7013","Restoran Nasi Goreng","Restoran takeaway ayam goreng",,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20%26%20Ayam%20Goreng%20Aneka%20Racun&query_place_id=ChIJ2_rYuDfnaC4RIQMwxTXADSM","Restoran Nasi Goreng"
"Sate Ayu Mbok Dikem Pasar Minggu Gasibu","4.6","580","Unnamed Road","Kota Bandung","Jawa Barat","ID",,"","Pasar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Ayu%20Mbok%20Dikem%20Pasar%20Minggu%20Gasibu&query_place_id=ChIJq5Pin03maC4RbBcIWMm0DYw","Pasar"
"Bakso Malang Cipaganti","4.5","125","Jalan Cipaganti.85 (dalam komplek masjid besar cipaganti","Kota Bandung","Jawa Barat","ID",,"+62 811-2244-647","Restoran Bakso",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bakso%20Malang%20Cipaganti&query_place_id=ChIJa_39X1zmaC4RGfGYCozAhNA","Restoran Bakso"
"Ayam Goreng & Bakar Pringgodani","4.5","289","Jl. Ir. H. Juanda No.275","Kota Bandung","Jawa Barat","ID",,"+62 22 2504025","Restoran takeaway ayam goreng","Restoran Masakan Ayam","Restoran Jawa",,,,,,"https://www.google.com/maps/search/?api=1&query=Ayam%20Goreng%20%26%20Bakar%20Pringgodani&query_place_id=ChIJJb9VcfzmaC4RCJX4jVKYg88","Restoran takeaway ayam goreng"
"Warung sate bang jukiy",,,"Jl. Terusan Katamso No.6","Kota Bandung","Jawa Barat","ID",,"","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20sate%20bang%20jukiy&query_place_id=ChIJeRh0eADnaC4RcGYAhWG4HzQ","Restoran Indonesia"
"Ma'Oin","4.7","47","Jl. Cihampelas No.216","Kota Bandung","Jawa Barat","ID",,"+62 856-2433-3096","Restoran Indonesia","Restoran",,,,,,,"https://www.google.com/maps/search/?api=1&query=Ma'Oin&query_place_id=ChIJw5TBLlnmaC4RuYNTcSBroHU","Restoran Indonesia"
"Sambal Mangga Cak Kohar","4.7","549","Jl. Dipati Ukur","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sambal%20Mangga%20Cak%20Kohar&query_place_id=ChIJNT3LcfLnaC4Rw2W_sIVSlfs","Restoran"
"Warung sate afa & Tahu walik Cimuncang","5","6","Jl. Terusan Cimuncang No.68-86","Kota Bandung","Jawa Barat","ID",,"+62 823-1912-7466","Dapur Umum",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20sate%20afa%20%26%20Tahu%20walik%20Cimuncang&query_place_id=ChIJvdTMHkrnaC4Ro8MpFPBftGo","Dapur Umum"
"Kedai Mie Dago","4.4","696","Jl. Ir. H. Juanda No.209","Kota Bandung","Jawa Barat","ID",,"+62 22 2509327","Restoran Mie","Restoran Bakso","Restoran Sunda",,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Mie%20Dago&query_place_id=ChIJG9hl6k7maC4RJ9PoYxTFeI4","Restoran Mie"
"Super Enjoy Bandung","4.5","1341","Jl. Dr. Setiabudi No.139A","Kota Bandung","Jawa Barat","ID","https://instagram.com/indomieenjoybdg?igshid=1f8wrkxn32uvq","","Restoran Mie","Kedai Sarapan","Kafe","Rumah Makan",,,,,"https://www.google.com/maps/search/?api=1&query=Super%20Enjoy%20Bandung&query_place_id=ChIJO1gbNpTmaC4RzjyMYqrEcnQ","Restoran Mie"
"Bakmi Parahyangan","4.2","943","Jl. Sukajadi No.211","Kota Bandung","Jawa Barat","ID","http://www.bakmiparahyangan.co.id/","+62 22 2038452","Restoran Mie","Restoran Hidangan Mie China","Restoran Nasi Goreng",,,,,,"https://www.google.com/maps/search/?api=1&query=Bakmi%20Parahyangan&query_place_id=ChIJG2lfa43maC4RQsiPD_3guFs","Restoran Mie"
"Mulya Cirebon Chinese Food","4.5","469","4J87+9W2, Jl. Tubagus Ismail","Kota Bandung","Jawa Barat","ID",,"+62 822-4071-7799","Restoran China",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mulya%20Cirebon%20Chinese%20Food&query_place_id=ChIJHwrCpf_maC4RGm8XxXbWTrM","Restoran China"
"Warung Nasi Pecel Kediri Pak Tono","4.6","209","Jl. Ir. H. Juanda No.338","Kota Bandung","Jawa Barat","ID",,"","Restoran Jawa Timur","Warung nasi",,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Nasi%20Pecel%20Kediri%20Pak%20Tono&query_place_id=ChIJi8LfTsTnaC4RAED_3rgDOVo","Restoran Jawa Timur"
"Nasi Goreng Agin Yamori 46 Ayam Serundeng","3.8","4","Jl. Gegerkalong Girang No.46","Kota Bandung","Jawa Barat","ID",,"","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Agin%20Yamori%2046%20Ayam%20Serundeng&query_place_id=ChIJw-HNXbzmaC4Rm2VCnIno-kU","Restoran Nasi Goreng"
"Sate abah 1999","5","1","Depan Kantor Pelayanan Perbendaharaan Negara Bandung 2, Jl. Khp Hasan Mustopa No.46","Kota Bandung","Jawa Barat","ID",,"+62 821-2661-6662","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20abah%201999&query_place_id=ChIJzTcHq0HnaC4RDGDRXgwqadE","Restoran Sate"
"Warung Sate Madura","4","1","Jl. Pelesiran No.2","Kota Bandung","Jawa Barat","ID",,"","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Madura&query_place_id=ChIJdfUtr1rmaC4RfYrzo4HuV64","Restoran Sate"
"Sate Monju","4.6","95","4J49+HPM","Kota Bandung","Jawa Barat","ID",,"+62 819-0459-8969","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Monju&query_place_id=ChIJR_CET2DnaC4RRfmKp3IyMxI","Restoran Sate"
"Warung Sate Ibu Honimah","4.2","5","Masjid Saifullah/Parkiran Motor, Jl. Karang Tinggal No.Samping","Kota Bandung","Jawa Barat","ID",,"+62 878-2567-7075","Restoran Sate","Rumah Makan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Ibu%20Honimah&query_place_id=ChIJv7ADH2DmaC4RyvCdlWTBdjY","Restoran Sate"
"RM Puri Bambu","4.5","2334","Jl. Sindang Sirna No.14","Kota Bandung","Jawa Barat","ID",,"+62 821-3693-1049","Restoran China",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RM%20Puri%20Bambu&query_place_id=ChIJLRA6iY3maC4RLfMW5RvQUaU","Restoran China"
"Warung Sate Maranggi 73 Khas Cianjur Abah Ajat","4.3","3","Jl. Khp Hasan Mustopa No.73","Kota Bandung","Jawa Barat","ID",,"+62 819-1068-7870","Restoran Sate","Restoran Jawa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Maranggi%2073%20Khas%20Cianjur%20Abah%20Ajat&query_place_id=ChIJQUu1npDnaC4RVyubbJ5RJqE","Restoran Sate"
"Sate Ayam & Kambing Maulana Yusuf The Kiosk Setiabudi","4.1","57","Jl. Dr. Setiabudi No.46","Kota Bandung","Jawa Barat","ID",,"","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Ayam%20%26%20Kambing%20Maulana%20Yusuf%20The%20Kiosk%20Setiabudi&query_place_id=ChIJe8T3AbnmaC4R3LMIiLWh_4k","Restoran Sate"
"Kedai Lontong Medan Ka' Zahra","4.4","1074","Jl. Dipati Ukur No.42/60","Kota Bandung","Jawa Barat","ID",,"+62 813-2113-0205","Restoran Mie","Kedai Sarapan","Restoran Indonesia",,,,,,"https://www.google.com/maps/search/?api=1&query=Kedai%20Lontong%20Medan%20Ka'%20Zahra&query_place_id=ChIJJ5HyiVPmaC4R4anPXOEetTg","Restoran Mie"
"KOPI MOBIL BABEH (Warung sate sinta)","4.8","5","4H4P+GPG, Jl. Dr. Djunjunan","Kota Bandung","Jawa Barat","ID",,"","Kedai Kopi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=KOPI%20MOBIL%20BABEH%20(Warung%20sate%20sinta)&query_place_id=ChIJ0dhxvcznaC4R52jVoagoUAo","Kedai Kopi"
"Nasi Goreng Sedap Jaya","5","1","Jl. Gegerkalong Hilir No.141","Kota Bandung","Jawa Barat","ID",,"+62 819-0979-3379","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Sedap%20Jaya&query_place_id=ChIJpcSDVQDnaC4RPkUuApN7Aw4","Restoran Indonesia"
"Plataran Bandung","4.8","1081","Jl. Diponegoro No.27","Kota Bandung","Jawa Barat","ID","https://www.plataran.com/plataran-bandung/","+62 811-1992-2132","Restoran Mewah","Bistro","Gedung Pertemuan","Tempat acara","Restoran Indonesia","Bar lounge","Restoran","Gedung Pernikahan","https://www.google.com/maps/search/?api=1&query=Plataran%20Bandung&query_place_id=ChIJybxdtwfnaC4RI9xqASBTsUk","Restoran Mewah"
"Selera Aceh Cafe","4.7","427","Jl. Pahlawan No.28","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/seleraaceh_/","+62 813-3330-1349","Restoran Mie",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Selera%20Aceh%20Cafe&query_place_id=ChIJf4piaa7naC4RJxmSQ-kv8BI","Restoran Mie"
"Kafe Pinggir Jalan","4","14","Jl. Dr. Setiabudi No.353","Kota Bandung","Jawa Barat","ID",,"+62 22 2014470","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kafe%20Pinggir%20Jalan&query_place_id=ChIJuRIIlJXmaC4RrlAuZlk0R-0","Kafe"
"Nasi Kuning Gorontalo - Orasawa Taste","4.7","164","Jl. Ir. H. Juanda No.322","Kota Bandung","Jawa Barat","ID",,"+62 812-8098-2785","Restoran Indonesia","Pujasera",,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Kuning%20Gorontalo%20-%20Orasawa%20Taste&query_place_id=ChIJayG1fj_naC4R6E2BoHlCUis","Restoran Indonesia"
"Nasi goreng plus plus","3.5","8","Jl. Jurang No.31","Kota Bandung","Jawa Barat","ID",,"","Pertanian",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20goreng%20plus%20plus&query_place_id=ChIJb68r3lLnaC4R8UI56IW5KIo","Pertanian"
"Nasi Goreng Sederhana","4.7","25","Jl. Jurang No.1","Kota Bandung","Jawa Barat","ID",,"","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Sederhana&query_place_id=ChIJn9BMSV7maC4RZo7g1Fe2-q0","Restoran Nasi Goreng"
"Nasi Goreng Jando Babah Bayu","4.7","43","4J86+PG8, Jl. Cisitu Lama","Kota Bandung","Jawa Barat","ID",,"+62 813-8155-8050","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Jando%20Babah%20Bayu&query_place_id=ChIJDyooNADnaC4RNz4ceKnpcdI","Restoran Indonesia"
"Nasi Goreng Mas Ari Komsol","4.4","17","Jl. Pusdai","Kota Bandung","Jawa Barat","ID",,"+62 812-9938-3814","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Mas%20Ari%20Komsol&query_place_id=ChIJMftI2rPnaC4RhRZ7Y0GyKXo","Restoran Nasi Goreng"
"Nasi Goreng Mas Ulel","4.7","11",,"Kota Bandung","Jawa Barat","ID",,"+62 812-2225-7631","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Mas%20Ulel&query_place_id=ChIJw0G2RQ_naC4R8l3_I7ArdGo","Restoran Nasi Goreng"
"Nasi Goreng Pak Agus","4.9","47","depan dinas perkebunan, Jl. Surapati No.65-67","Kota Bandung","Jawa Barat","ID",,"+62 813-2263-3054","Restoran Nasi Goreng",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Pak%20Agus&query_place_id=ChIJY1nMaAPnaC4RkX4ZvHeddbQ","Restoran Nasi Goreng"
"Zona Merah (Zomer) Sukajadi","4.2","3118","Jl. Sukajadi No.57","Kota Bandung","Jawa Barat","ID",,"","Restoran Sunda",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zona%20Merah%20(Zomer)%20Sukajadi&query_place_id=ChIJz7DNPIvmaC4Rr0YXuy6m3e8","Restoran Sunda"
"nasi goreng malam maseh","5","1","4J5J+56J","Kota Bandung","Jawa Barat","ID",,"","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=nasi%20goreng%20malam%20maseh&query_place_id=ChIJlSTJHwDnaC4Rx2tSReT5vnE","Restoran Indonesia"
"Nasi Goreng LAKSANA","4.7","76","Jl. Cigadung Raya Tengah No.67","Kota Bandung","Jawa Barat","ID",,"+62 838-2034-9533","Restoran Nasi Goreng","Restoran",,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20LAKSANA&query_place_id=ChIJxWiiXJDnaC4R_JgO23pq5jI","Restoran Nasi Goreng"
"Lontong Padang & Nasi Goreng Bali","5","3","Jl. Cigiringsing No.13, RT.06/RW.04","Kota Bandung","Jawa Barat","ID",,"+62 898-7411-149","Produsen makanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lontong%20Padang%20%26%20Nasi%20Goreng%20Bali&query_place_id=ChIJucpCN5HdaC4RQU0ZIPKrpwo","Produsen makanan"
"Nasi Goreng Baso Sedap Malam","4.6","58","Jl. Ganesha","Kota Bandung","Jawa Barat","ID",,"+62 813-2173-8834","Restoran Nasi Goreng","Restoran Bakso","Restoran Masakan Ayam","Rumah Makan",,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Baso%20Sedap%20Malam&query_place_id=ChIJCYq151DmaC4RPmm7Truades","Restoran Nasi Goreng"
"Bakmie Jawa & Ayam Goreng Kremes Mas Tri","4.3","624","Jl. Sukahaji No.61","Kota Bandung","Jawa Barat","ID",,"+62 813-2176-5525","Restoran Mie","Restoran takeaway ayam goreng","Restoran Jawa",,,,,,"https://www.google.com/maps/search/?api=1&query=Bakmie%20Jawa%20%26%20Ayam%20Goreng%20Kremes%20Mas%20Tri&query_place_id=ChIJR-gT7prmaC4RKmRPZODk5zk","Restoran Mie"
"Warung Sate Mas Acong","4.2","16","Warung Prestasi KPAD Gegerkalong, Jl. Pak Gatot Raya No.16","Kota Bandung","Jawa Barat","ID",,"+62 859-5666-7555","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Mas%20Acong&query_place_id=ChIJpZT21MXnaC4RMGvnOhlCJFc","Restoran Sate"
"Sate Barokah","5","1","Jl. Gegerkalong Girang No.25","Kota Bandung","Jawa Barat","ID",,"+62 818-0923-3555","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Barokah&query_place_id=ChIJP0_d8rzmaC4RMUE3UVKMC-k","Restoran Sate"
"Nasi Goreng Bang Yus","4.8","43","Jl. Dr. Setiabudi No.349","Kota Bandung","Jawa Barat","ID",,"+62 852-2207-6677","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Goreng%20Bang%20Yus&query_place_id=ChIJsd94CTXhaC4R5QdrMQ4irDY","Restoran"
"Warung Sate Az - Zahra","5","2","Jl. Prof. Eyckman No.60","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Az%20-%20Zahra&query_place_id=ChIJWXwhYl3maC4RmaR-GUdyHSI","Restoran"
"Warung Sate Bonbon",,,"Jl. Bukit Jarian No.7A","Kota Bandung","Jawa Barat","ID",,"","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Sate%20Bonbon&query_place_id=ChIJKdf5oV_naC4RhJIPZ9k65Uc","Restoran"
"Sate maranggi Bangkar","4.8","32","Jl. Cisitu Indah VI No.9","Kota Bandung","Jawa Barat","ID",,"+62 812-2431-3451","Restoran Sate",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20maranggi%20Bangkar&query_place_id=ChIJy2v6xBrnaC4Rg8Pe9x8j_4E","Restoran Sate"
