"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Resto Saung KuringTubagus Ismail","4.4","224","Jl. Terusan Tubagus Ismail Raya No.1","Kota Bandung","Jawa Barat","ID",,"+62 22 2535522","Restoran Sunda","Restoran Masakan Ayam","Restoran Indonesia",,,,,,,"https://www.google.com/maps/search/?api=1&query=Resto%20Saung%20KuringTubagus%20Ismail&query_place_id=ChIJmdAim6rnaC4R-gt9UoX1IKs","Restoran Sunda"
"Moxy Sky Resto & Bar","4.8","164","Jl. Ir. H. Juanda No.69","Kota Bandung","Jawa Barat","ID","https://marriottbonvoyasia.com/restaurants-bars/moxy-bandung-moxy-sky","+62 823-2045-8469","Restoran","Bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moxy%20Sky%20Resto%20%26%20Bar&query_place_id=ChIJYdBjnljnaC4RHWX9BXtRuVk","Restoran"
"STARLITE CAFE BANDUNG","5","3","Jl. Dr. Djunjunan No.143","Kota Bandung","Jawa Barat","ID",,"+62 818-284-441","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=STARLITE%20CAFE%20BANDUNG&query_place_id=ChIJI60_iTblaC4RCnKykfWWPIE","Restoran"
"Restoran Simpang Raya Bandung","4.3","1526","Jl. Dr. Djunjunan No.182","Kota Bandung","Jawa Barat","ID","https://simpangraya.co.id/","+62 856-9490-0646","Restoran Padang",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restoran%20Simpang%20Raya%20Bandung&query_place_id=ChIJiS_0sHzmaC4Rz_5C1fRTLRc","Restoran Padang"
"Sate Maranggi Haji Yetty Cabang Bandung","4.4","1261","Jl. Dr. Setiabudi No.158","Kota Bandung","Jawa Barat","ID",,"+62 813-9997-7780","Restoran Sate","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Maranggi%20Haji%20Yetty%20Cabang%20Bandung&query_place_id=ChIJacUsI0znaC4RvPdVQtOaKYs","Restoran Sate"
"Rumah Makan Lumpia Semarang","4.5","1506","Jalan Badak Singa No.21, Tamansari, Bandung Wetan","Kota Bandung","Jawa Barat","ID",,"+62 22 2504533","Restoran Jawa Tengah","Restoran Indonesia","Restoran Jawa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Lumpia%20Semarang&query_place_id=ChIJecNG3-DnaC4Rx_PQPoIzAQA","Restoran Jawa Tengah"
"Shu Guo Yin Xiang Bandung","4.7","516","Jl. Ir. H. Juanda No.177","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/shuguoyinxiang/","+62 22 2503005","Restoran Hot Pot","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shu%20Guo%20Yin%20Xiang%20Bandung&query_place_id=ChIJo9ZCyQ3naC4RSkGWNQ-ZQh8","Restoran Hot Pot"
"GiggleBox - Cihampelas Walk Bandung","4.6","986","Unit SG, Jl. Cihampelas Jl. Cihampelas Walk No.160","Kota Bandung","Jawa Barat","ID","http://www.facebook.com/giggleboxid","+62 817-9117-942","Kafe","Restoran Asia","Restoran Indonesia","Restoran Masakan Barat",,,,,,"https://www.google.com/maps/search/?api=1&query=GiggleBox%20-%20Cihampelas%20Walk%20Bandung&query_place_id=ChIJBQow6FvmaC4RelySeDx27ys","Kafe"
"Homeground Restaurant","4.2","469","Jl. Gn. Batu No.3","Kota Bandung","Jawa Barat","ID",,"+62 811-280-624","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Homeground%20Restaurant&query_place_id=ChIJB97j-d_naC4RC-RyA0WEWJY","Restoran"
"Bebek Ali Borme","4.6","9047","Jl. Teuku Umar No.6","Kota Bandung","Jawa Barat","ID",,"+62 813-1501-1866","Restoran Indonesia","Restoran Asia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bebek%20Ali%20Borme&query_place_id=ChIJWVMonFHmaC4R7uPztP3Yb1Q","Restoran Indonesia"
"Serasa Salad Bar Bandung","4.6","780","Jl. Imam Bonjol No.48","Kota Bandung","Jawa Barat","ID",,"+62 813-9459-7834","Restoran Makanan Sehat","Kafe","Kedai Salad",,,,,,,"https://www.google.com/maps/search/?api=1&query=Serasa%20Salad%20Bar%20Bandung&query_place_id=ChIJpe5Vo43maC4R-px_aO7gsQQ","Restoran Makanan Sehat"
"Pizza Hut Restoran","4.8","5538","Jl. Ir. H. Juanda No.48","Kota Bandung","Jawa Barat","ID","https://www.pizzahut.co.id/","+62 1 500 600","Restoran Pizza","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pizza%20Hut%20Restoran&query_place_id=ChIJzfndH0_maC4RwKuVTn5pmpY","Restoran Pizza"
"Jing Paradise Chinese Fine Dining Restaurant","4.6","1352","Jl. Dr. Setiabudi No.269-275","Kota Bandung","Jawa Barat","ID","https://grandmercurebandung.com/","+62 22 2012610","Restoran China","Restoran Dim Sum","Restoran Mewah",,,,,,,"https://www.google.com/maps/search/?api=1&query=Jing%20Paradise%20Chinese%20Fine%20Dining%20Restaurant&query_place_id=ChIJrfUdMPPmaC4RNIGIAWKRAac","Restoran China"
"Sushi Tei Flamboyant","4.5","4561","Flamboyant Season Building, Jl. Sukawangi No.2 Lt.1","Kota Bandung","Jawa Barat","ID","http://www.sushitei.co.id/","+62 22 2039258","Restoran Jepang","Restoran Sushi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sushi%20Tei%20Flamboyant&query_place_id=ChIJgwLn85LnaC4RrT_CLL_mCEY","Restoran Jepang"
"81 Sky Resto","4.5","189","Lt. Roof Top, Jl. Dr. Setiabudi No.153","Kota Bandung","Jawa Barat","ID",,"+62 22 2000035","Restoran Indonesia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=81%20Sky%20Resto&query_place_id=ChIJ0XJdv5XmaC4R2ufFPKr7Mok","Restoran Indonesia"
"Grand Tjokro Premiere Bandung","4.5","16701","Jl. Cihampelas No.211-217","Kota Bandung","Jawa Barat","ID","https://www.grandtjokro.com/bandung","","Hotel","Tempat acara","Restoran","Spa","Gedung Pernikahan",,,,,"https://www.google.com/maps/search/?api=1&query=Grand%20Tjokro%20Premiere%20Bandung&query_place_id=ChIJyeYjCvbmaC4RO40HZ14gpjo","Hotel"
"Temu Kamu Coffee & Eatery Bandung","4.7","2528","Jl. Cemara No.46","Kota Bandung","Jawa Barat","ID","http://temukamu.id/","+62 859-5006-3722","Kedai Kopi","Restoran",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Temu%20Kamu%20Coffee%20%26%20Eatery%20Bandung&query_place_id=ChIJK2AErf3naC4RTz7rF38kmp0","Kedai Kopi"
"Super Enjoy Bandung","4.5","1341","Jl. Dr. Setiabudi No.139A","Kota Bandung","Jawa Barat","ID","https://instagram.com/indomieenjoybdg?igshid=1f8wrkxn32uvq","","Restoran Mie","Kedai Sarapan","Kafe","Rumah Makan",,,,,,"https://www.google.com/maps/search/?api=1&query=Super%20Enjoy%20Bandung&query_place_id=ChIJO1gbNpTmaC4RzjyMYqrEcnQ","Restoran Mie"
"RM Saung Kabayan","4.3","2348","Jl. Dr. Djunjunan No.107","Kota Bandung","Jawa Barat","ID","http://saungkabayan.com/","+62 22 6017197","Restoran Sunda",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RM%20Saung%20Kabayan&query_place_id=ChIJYSrKrmXmaC4RBniJYc_3zjc","Restoran Sunda"
"Kakkoii All You Can Eat Japanese BBQ & Shabu - Shabu, Bandung","4.7","3136","Jl. Karangsari No.14","Kota Bandung","Jawa Barat","ID","https://kakkoii.co.id/bandung/","+62 813-5978-5758","Restoran Jepang","Restoran Prasmanan","Restoran","Restoran Shabu-shabu",,,,,,"https://www.google.com/maps/search/?api=1&query=Kakkoii%20All%20You%20Can%20Eat%20Japanese%20BBQ%20%26%20Shabu%20-%20Shabu%2C%20Bandung&query_place_id=ChIJMyUeDufnaC4R9-3O28DLxxs","Restoran Jepang"
"Restoran Sederhana Setiabudi Bandung","4.5","1400","Jl. Dr. Setiabudi No.55","Kota Bandung","Jawa Barat","ID","https://rajafa.com/food&beverage.html","+62 813-1257-7115","Restoran Padang",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restoran%20Sederhana%20Setiabudi%20Bandung&query_place_id=ChIJ1VF3YvTmaC4RH-47Ox5ITyU","Restoran Padang"
"Padang Merdeka Bandung","4.5","1664","Jl. Diponegoro Kel No.7","Kota Bandung","Jawa Barat","ID","https://lynk.id/padangmerdekabandung","+62 22 20528004","Restoran Padang",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Padang%20Merdeka%20Bandung&query_place_id=ChIJ_eRGUIbnaC4Rn-EZuaYGwVo","Restoran Padang"
"Warung Steak Pasadena","4.6","2388","Jl. Sukamaju No.33","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/pasadenasteakbdg/","+62 22 2035116","Restoran Steak",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Steak%20Pasadena&query_place_id=ChIJTcstyV_maC4RSUqxFFX29XQ","Restoran Steak"
"Rempah Bistro • PVJ Mall","4.6","517","Paris Van Java, Jl. Sukajadi No.131 - 139","Kota Bandung","Jawa Barat","ID",,"+62 811-1991-0563","Restoran Indonesia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rempah%20Bistro%20%E2%80%A2%20PVJ%20Mall&query_place_id=ChIJE-Uc-WLnaC4R56G47Y4RhnM","Restoran Indonesia"
"Ma' Uneh Setiabudi","4.1","2516","Jl. Dr. Setiabudi No.159","Kota Bandung","Jawa Barat","ID",,"+62 22 2011859","Restoran Sunda",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ma'%20Uneh%20Setiabudi&query_place_id=ChIJSfQhuJXmaC4RLzXmAaJ_ne8","Restoran Sunda"
"Mie Gacoan Bandung - Setiabudi","4.5","9995","Sadu, Jl. Dr. Setiabudi No.191B","Kota Bandung","Jawa Barat","ID",,"","Restoran Mie",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mie%20Gacoan%20Bandung%20-%20Setiabudi&query_place_id=ChIJK--RT9TnaC4R3vmpjNmLKMQ","Restoran Mie"
"Warung Olla Bandung","4.6","204","Jl. Sulanjana No.8","Kota Bandung","Jawa Barat","ID","https://sites.google.com/view/warumg-olla-bandung/beranda","+62 877-8085-1331","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Olla%20Bandung&query_place_id=ChIJhaKd-_XnaC4RltAiXgWzzEw","Restoran"
"Belle Vue Roof Top 24 Hours French & Italian Bistro","4.6","310","Green Hill Universal Hotel, Jl. Dr. Setiabudi No.376","Kota Bandung","Jawa Barat","ID",,"+62 22 2010388","Restoran Italia","Restoran Prancis",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Belle%20Vue%20Roof%20Top%2024%20Hours%20French%20%26%20Italian%20Bistro&query_place_id=ChIJRTHNe8rmaC4RPk4ljXDDx7s","Restoran Italia"
"Sate Maulana Yusuf","4.5","4785","Jl. Maulana Yusuf No.19","Kota Bandung","Jawa Barat","ID",,"+62 22 4265065","Restoran Sate","Rumah Makan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sate%20Maulana%20Yusuf&query_place_id=ChIJdy8Q6E7maC4RNASEofjl6yI","Restoran Sate"
"SEDJUK BAKMI & KOPI CIGADUNG, BANDUNG","4.8","4847","Jl. Konstitusi I No.16","Kota Bandung","Jawa Barat","ID",,"+62 811-1918-2526","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SEDJUK%20BAKMI%20%26%20KOPI%20CIGADUNG%2C%20BANDUNG&query_place_id=ChIJwZlcNBTnaC4RlmbmF3VSnyU","Restoran"
"Reunion House Grill & Bar","4.5","404","Jl. Dr. Setiabudi No.45","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/reunionhouse","+62 22 2040055","Restoran Steak","Restoran Fusion Asia","Restoran Italia",,,,,,,"https://www.google.com/maps/search/?api=1&query=Reunion%20House%20Grill%20%26%20Bar&query_place_id=ChIJBTs2ZvPmaC4R5Hf2CUHaL1I","Restoran Steak"
"Dago Panyawangan","4.5","2987","Jl. Ir. H. Juanda No.127","Kota Bandung","Jawa Barat","ID","https://wa.me/6289657434327","+62 22 2501815","Restoran Sunda",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dago%20Panyawangan&query_place_id=ChIJ6911qJhyaS4RQTApHksw-3w","Restoran Sunda"
"Sajian Sunda Sambara","4.5","4225","Jl. Trunojoyo No.64","Kota Bandung","Jawa Barat","ID","https://kalandaraboga.com/sajiansambara","+62 22 4208757","Restoran","Restoran Prasmanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sajian%20Sunda%20Sambara&query_place_id=ChIJg-QFG0nmaC4R-GkHw0K_D7M","Restoran"
"Steak Ranjang Dipatiukur - Steak Enak di Bandung","4.4","4060","Jl. Dipati Ukur No.248","Kota Bandung","Jawa Barat","ID",,"+62 813-8388-8068","Restoran Steak","Rumah Makan","Restoran makan siang",,,,,,,"https://www.google.com/maps/search/?api=1&query=Steak%20Ranjang%20Dipatiukur%20-%20Steak%20Enak%20di%20Bandung&query_place_id=ChIJdYIja1TmaC4Rc_NwoTf9RjI","Restoran Steak"
"Feast Restaurant","4.6","209","Sheraton Bandung Hotel & Towers, Jl. Ir. H. Juanda No.390","Kota Bandung","Jawa Barat","ID","http://feastbandung.com/","+62 811-2156-427","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Feast%20Restaurant&query_place_id=ChIJ60IS-uLmaC4RtcQcZ2BeGdk","Restoran"
"Nasi Bancakan","4.4","15184","Jl. Diponegoro No.25","Kota Bandung","Jawa Barat","ID",,"+62 813-8393-6634","Restoran Sunda","Restoran Prasmanan","Rumah Makan","Restoran",,,,,,"https://www.google.com/maps/search/?api=1&query=Nasi%20Bancakan&query_place_id=ChIJf-O910jmaC4RSgKjAn11uDM","Restoran Sunda"
"Morning Glory Coffee Bandung Setrasari","4.4","1353","Setra Sari Mall Ruko Setrasari Mall kav C2 no 31","Kota Bandung","Jawa Barat","ID","http://www.instagram.com/morningglorycoffee","+62 857-2207-0318","Kedai Kopi","Kedai Sarapan","Kafe",,,,,,,"https://www.google.com/maps/search/?api=1&query=Morning%20Glory%20Coffee%20Bandung%20Setrasari&query_place_id=ChIJSbzATYTmaC4RPf8X7bMNbAI","Kedai Kopi"
"Bebek Kaleyo Bandung","4.6","12369","Bebek kaleyo, Jl. Pasir Kaliki No.185-189","Kota Bandung","Jawa Barat","ID","http://www.kaleyo.com/","+62 811-8116-448","Restoran Indonesia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bebek%20Kaleyo%20Bandung&query_place_id=ChIJEeM_zmnmaC4RDyyrAVl9BMM","Restoran Indonesia"
"Garden Coffee Bandung","4.6","949","Jl. Ciungwanara No.10 A","Kota Bandung","Jawa Barat","ID",,"+62 877-6456-2458","Kedai Kopi","Taman","Restoran Halal",,,,,,,"https://www.google.com/maps/search/?api=1&query=Garden%20Coffee%20Bandung&query_place_id=ChIJVSGbbfzmaC4RDj7-jgKOIps","Kedai Kopi"
"Restaurant Sindang Reret Bandung","4.4","5227","Jl. Surapati No.53","Kota Bandung","Jawa Barat","ID","http://www.sindangreret.co.id/","+62 22 2535050","Restoran Sunda","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurant%20Sindang%20Reret%20Bandung&query_place_id=ChIJr8LAK7f8aC4RFAgksf1ccQM","Restoran Sunda"
"RM Alas Daun - Bandung","4.3","11039","Jl. Citarum No.34","Kota Bandung","Jawa Barat","ID","https://alasdaun.com/","+62 22 7231101","Restoran Sunda","Restoran Prasmanan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RM%20Alas%20Daun%20-%20Bandung&query_place_id=ChIJIQnijbTnaC4RG8p4wAd4s9w","Restoran Sunda"
"Warung Taru","4.3","3972","Jl. Ir. H. Juanda No.435","Kota Bandung","Jawa Barat","ID",,"+62 22 2533854","Restoran Sunda","Restoran Indonesia","Restoran Jawa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Taru&query_place_id=ChIJgbLK_t_maC4RG2ooN-TevCQ","Restoran Sunda"
"Spice Affair Bandung Indian Fusion Cuisine","4.8","2320","Jl. Sukajadi No.186","Kota Bandung","Jawa Barat","ID","http://instagram.com/spiceaffair.bdg","+62 22 64401234","Restoran India","Restoran Vegan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spice%20Affair%20Bandung%20Indian%20Fusion%20Cuisine&query_place_id=ChIJt2WUCxjnaC4RVlnslViV9sc","Restoran India"
"Nara Park Bandung","4.6","12482","Jl. Rancabentang No.28","Kota Bandung","Jawa Barat","ID","https://www.narabandung.com/","+62 813-8888-1532","Restoran","Restoran Indonesia","Restoran Jepang","Restoran Masakan Barat",,,,,,"https://www.google.com/maps/search/?api=1&query=Nara%20Park%20Bandung&query_place_id=ChIJRQ-43-fmaC4R0GnwjwYpx0s","Restoran"
"Kapulaga Indonesian Bistro","4.4","3596","Jl. Dayang Sumbi No.3","Kota Bandung","Jawa Barat","ID","https://linktr.ee/kapulaga.bdg?utm_source=linktree_profile_share&ltsid=2f2fd9cb-2218-44f1-9b13-0e286a2cc84b","+62 22 2506195","Restoran Sunda","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kapulaga%20Indonesian%20Bistro&query_place_id=ChIJY23nzVfmaC4RiJ_kfU7wHjI","Restoran Sunda"
"Saffron Restaurant","4.8","23","Jl. Ir. H. Juanda No.46","Kota Bandung","Jawa Barat","ID","https://www.marriott.com/hotels/hotel-information/restaurant/bdofp-four-points-bandung/","+62 22 87330330","Restoran","Restoran Indonesia",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Saffron%20Restaurant&query_place_id=ChIJ-yOv7GXnaC4RKXMMTnNCKB8","Restoran"
"Warung Cepot - Pasteur","4.5","1314","Jl. Dr. Djunjunan No.155D","Kota Bandung","Jawa Barat","ID","http://www.warungcepot.com/","+62 22 6127800","Restoran Sunda",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Warung%20Cepot%20-%20Pasteur&query_place_id=ChIJc1JjPGnmaC4R1VPu5DkpJYc","Restoran Sunda"
"Pondok Selera Sunda","4.5","1189","Jl. Sukajadi No.246","Kota Bandung","Jawa Barat","ID",,"+62 22 20280279","Restoran Sunda","Rumah Makan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pondok%20Selera%20Sunda&query_place_id=ChIJ2e6afxfnaC4RlJvea90zGQc","Restoran Sunda"
"Queen Legend Restaurant","4.6","1219","Galeri Ciumbuleuit Apartment 1, Jl. Ciumbuleuit No.42a","Kota Bandung","Jawa Barat","ID",,"+62 878-2335-3030","Restoran China",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Queen%20Legend%20Restaurant&query_place_id=ChIJKb67uQvmaC4RRYl_omepmfM","Restoran China"
"1001 By Art Friends Bandung","4.7","234","Cihampelas Walk, Mall (Broadway, Jl. Cihampelas No.160 Area) Floor LG","Kota Bandung","Jawa Barat","ID","https://instagram.com/1001.bandung?igshid=YmMyMTA2M2Y=","+62 811-9101-001","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1001%20By%20Art%20Friends%20Bandung&query_place_id=ChIJaeVePEjnaC4RG-NXopihS2c","Restoran"
"AOM","4.5","953","Jl. Pasir Kaliki No.176","Kota Bandung","Jawa Barat","ID",,"","Restoran Steak",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AOM&query_place_id=ChIJFU9UyYnnaC4Ro7TMiWKz7OM","Restoran Steak"
"Sultan Agung Resto","4.6","1758","Jl. Sultan Agung No.23","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/sultanagungresto/","+62 812-6668-1515","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sultan%20Agung%20Resto&query_place_id=ChIJB-kcUTbnaC4RUASwlfEHJfg","Restoran"
"Rumah Makan Gratis Uwais Bandung","4.9","566","Jl. Cibeunying Permai III No.17","Kota Bandung","Jawa Barat","ID","https://linktr.ee/rumahmakangratisuwais","+62 821-3971-4500","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Gratis%20Uwais%20Bandung&query_place_id=ChIJK8Ks-v7DaC4R1FeOXK1iNkw","Restoran"
"Goldstar 360 view bandung shisha","4.4","2316","Jl. Dangdeur Indah No.2b","Kota Bandung","Jawa Barat","ID","https://instagram.com/goldstar360?igshid=1q0ruqfk6kmpy","+62 812-8199-2700","Restoran makan siang","Kafe",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Goldstar%20360%20view%20bandung%20shisha&query_place_id=ChIJyRkfYIbmaC4RVa2Z3C770TY","Restoran makan siang"
"Mode Kitchen Bandung","4.8","146","Jl. Dr. Setiabudi No.41","Kota Bandung","Jawa Barat","ID","https://linktr.ee/modekitchen","+62 816-1669-888","Restoran","Kafe","Toko Makanan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Mode%20Kitchen%20Bandung&query_place_id=ChIJXzf3T3fnaC4RGncE-Nvi9rs","Restoran"
"Circolo","4.7","1556","Jl. Sukajadi No.198","Kota Bandung","Jawa Barat","ID",,"+62 878-8019-8198","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Circolo&query_place_id=ChIJlR0a8rrnaC4Rf-m1btmpEGY","Restoran"
"Sambal Bakar Indonesia, Dakota Bandung","4.9","5537","Gg. Dakota Raya No.48","Kota Bandung","Jawa Barat","ID","https://sambalbakarindonesia.com/","+62 812-4684-8157","Restoran Indonesia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sambal%20Bakar%20Indonesia%2C%20Dakota%20Bandung&query_place_id=ChIJ4-GsAQDlaC4RZTn2VyP4t_k","Restoran Indonesia"
"Wizzmie Sukajadi","4.8","30601","Jl. Sukajadi No.157","Kota Bandung","Jawa Barat","ID",,"","Restoran cepat saji",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wizzmie%20Sukajadi&query_place_id=ChIJf7GQxRHnaC4RjzQobVGSzxk","Restoran cepat saji"
"Restoran The Volcano","4.6","2327","Blk. B3, Jl. Prof. drg. Soeria Soemantri","Kota Bandung","Jawa Barat","ID","http://thevolcanoresto.co.id/","+62 831-5061-9184","Restoran Belgia","Bar & Grill","Bistro","Kafe","Restoran Masakan Ayam","Restoran Eropa","Restoran Masakan Barat",,,"https://www.google.com/maps/search/?api=1&query=Restoran%20The%20Volcano&query_place_id=ChIJ858DUoTmaC4RA3twejiqA8g","Restoran Belgia"
"The Restaurant - Hotel Padma","4.6","1750","Jl. Rancabentang No.56-58","Kota Bandung","Jawa Barat","ID","http://www.padmahotelbandung.com/","+62 22 2030333","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Restaurant%20-%20Hotel%20Padma&query_place_id=ChIJYSa0w8LmaC4RCQhSEjQErqU","Restoran"
"de sanirasa","4.8","6628","Jl. Lamping No.18","Kota Bandung","Jawa Barat","ID","http://instagram.com/desanirasa/","+62 811-2287-876","Restoran Sunda",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=de%20sanirasa&query_place_id=ChIJPfcKnvvnaC4RDoudfDrW2UI","Restoran Sunda"
"La Costilla","4.4","1237","Jl. Bungur No.29","Kota Bandung","Jawa Barat","ID",,"+62 819-1014-6707","Restoran Masakan Barat",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Costilla&query_place_id=ChIJd5G4NvPmaC4RBd-NWFwpSRg","Restoran Masakan Barat"
"Restoran Raja Rasa","4.5","5865","Jl. Setraria No.1","Kota Bandung","Jawa Barat","ID","https://s.id/rajarasasetrasaribandung","+62 22 2005070","Restoran Seafood",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restoran%20Raja%20Rasa&query_place_id=ChIJ2RQgD4XmaC4Rb9VVMb1yRI4","Restoran Seafood"
"Gormeteria","4.7","8021","Jl. Pasir Kaliki No.176","Kota Bandung","Jawa Barat","ID","https://instagram.com/gormeteria/","+62 22 20524850","Restoran Masakan Barat","Restoran Fusion Asia","Kedai Sarapan","Kedai Sarapan & Makan Siang",,,,,,"https://www.google.com/maps/search/?api=1&query=Gormeteria&query_place_id=ChIJa9V65GnmaC4RK2VkdPV8lKM","Restoran Masakan Barat"
"Sadrasa Kitchen & Bar","5","6788","Jl. Diponegoro No.27","Kota Bandung","Jawa Barat","ID","https://www.pullman-bandung-grandcentral.com/dining/pullman-dining/sadrasa-kitchen-bar/","+62 22 86038888","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sadrasa%20Kitchen%20%26%20Bar&query_place_id=ChIJoQgWQ3rnaC4REmtAU_kfHkg","Restoran"
"Mad Cow Wine & Grill Bandung","4.9","1496","Jl. Diponegoro No.27","Kota Bandung","Jawa Barat","ID","https://madcowbandung.com/","+62 22 86038888","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mad%20Cow%20Wine%20%26%20Grill%20Bandung&query_place_id=ChIJ2X3CpK7naC4RoswIfnzCpoQ","Restoran"
"Hachi Grill Sutami Bandung","4.9","5409","Jl. Prof. Dr. Sutami No.56","Kota Bandung","Jawa Barat","ID",,"+62 813-1000-6057","Restoran Yakiniku","Restoran Prasmanan","Restoran Halal",,,,,,,"https://www.google.com/maps/search/?api=1&query=Hachi%20Grill%20Sutami%20Bandung&query_place_id=ChIJAwL03-3naC4RAjHS6foQUws","Restoran Yakiniku"
"Korean House Bandung","4.6","941","Jl. Sukajadi No.175","Kota Bandung","Jawa Barat","ID",,"+62 22 2031626","Restoran Korea",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Korean%20House%20Bandung&query_place_id=ChIJwVZW08vnaC4RkyeaW2_XgPY","Restoran Korea"
"Grandia Patisserie","4.6","50","Jl. Cihampelas No.82","Kota Bandung","Jawa Barat","ID","http://grandiaresto.blogspot.com/","+62 22 4263846","Toko Kue",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Grandia%20Patisserie&query_place_id=ChIJ_8NeYFvmaC4R6CMlNs9E5cA","Toko Kue"
"Madame Sari Restaurant","4.5","1601","Jl. Ir. H. Juanda No.85","Kota Bandung","Jawa Barat","ID",,"+62 811-2222-3693","Restoran Indonesia",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Madame%20Sari%20Restaurant&query_place_id=ChIJj-uhrFHmaC4R1u4otaapK3Y","Restoran Indonesia"
"Aroem Bandung Resto & Cafe","4.9","2393","Jl. Dago No.169","Kota Bandung","Jawa Barat","ID","https://aroemresto.com/","+62 823-6398-8899","Restoran Indonesia","Tempat acara","Restoran",,,,,,,"https://www.google.com/maps/search/?api=1&query=Aroem%20Bandung%20Resto%20%26%20Cafe&query_place_id=ChIJxRSzgGTnaC4RnQlAQSBo-q8","Restoran Indonesia"
"Plataran Bandung","4.8","1081","Jl. Diponegoro No.27","Kota Bandung","Jawa Barat","ID","https://www.plataran.com/plataran-bandung/","+62 811-1992-2132","Restoran Mewah","Bistro","Gedung Pertemuan","Tempat acara","Restoran Indonesia","Bar lounge","Restoran","Gedung Pernikahan",,"https://www.google.com/maps/search/?api=1&query=Plataran%20Bandung&query_place_id=ChIJybxdtwfnaC4RI9xqASBTsUk","Restoran Mewah"
