"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Gun Buuk Barbershop","4.3","75","Jl. Boscha No.12","Kota Bandung","Jawa Barat","ID",,"+62 822-1917-2790","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gun%20Buuk%20Barbershop&query_place_id=ChIJb38ED1_maC4Riib64sbZnJM","Tempat Cukur Rambut"
"LION PARCEL CIGIRINGSING(POS20948)",,,"Jl. Cigiringsing Rt.03 Rw.19.Ds.Girimekar Cilengkrang Kab. Bandung, Bandung City","Kabupaten Bandung","Jawa Barat","ID","https://lionparcel.com/","+62 811-1300-230","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=LION%20PARCEL%20CIGIRINGSING(POS20948)&query_place_id=ChIJKchHja7daC4Rcik1txxCsSM","Jasa Pengiriman"
"JNT Cargo SadangSerang (Marketplace & Reguler Cargo)","4.9","80","Jl. Cikutra Barat No.119","Kota Bandung","Jawa Barat","ID","https://www.jtcargo.id/","+62 821-2837-2100","Layanan Logistik","Jasa Pengiriman",,,,,,,"https://www.google.com/maps/search/?api=1&query=JNT%20Cargo%20SadangSerang%20(Marketplace%20%26%20Reguler%20Cargo)&query_place_id=ChIJgfI7cijnaC4RLO7-fIwBjJ0","Layanan Logistik"
"Jne Setiabudi","3.4","92","SEBRANG YEN'S BABY & KID SHOP, Jl. Dr. Setiabudi No.103 i","Kota Bandung","Jawa Barat","ID",,"+62 857-5905-9765","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jne%20Setiabudi&query_place_id=ChIJ1_7L4VnnaC4RhNFAl5c4SAU","Jasa Pengiriman"
"Pengiriman barang Salsabila cargo bandung","4.9","22","Kawasan PT.RIA, Jl. Kalilio Barat Jl. Soekarno-Hatta No.761 KAVLING.NO 6","Kota Bandung","Jawa Barat","ID","http://www.salsabilacargo.com/","+62 852-9531-8926","Jasa Pengiriman Kargo","Jasa pengiriman mobil","Jasa pindah rumah","Perusahaan Ekspedisi","Jasa Pengiriman","Agen pengiriman kendaraan",,,"https://www.google.com/maps/search/?api=1&query=Pengiriman%20barang%20Salsabila%20cargo%20bandung&query_place_id=ChIJo_CSrrPpaC4RZEnhRE9Y_4Y","Jasa Pengiriman Kargo"
"Ojek Ikhlas Bandung","5","1","Jalan gagak barat no 97 rt 07/13, Jl. Karang Asih No.kel","Kota Bandung","Jawa Barat","ID",,"+62 858-6214-4690","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ojek%20Ikhlas%20Bandung&query_place_id=ChIJF_aLxhLnaC4RPA3aAUOvA-Q","Jasa Kurir"
"IwanTrans Jasa Angkut Barang & Pindahan Bandung","5","131","Jl. Sukamaju","Kota Bandung","Jawa Barat","ID",,"+62 822-1862-1547","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=IwanTrans%20Jasa%20Angkut%20Barang%20%26%20Pindahan%20Bandung&query_place_id=ChIJK6FDrDLnaC4Rv9DeCjMag1s","Jasa Pengiriman"
"JNE Gegerkalong","3.4","46","Jalan Geger Kalong Girang No.1 Gegerkalong","Kota Bandung","Jawa Barat","ID",,"","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JNE%20Gegerkalong&query_place_id=ChIJgXQdrr3naC4RbdcPmXKujDc","Jasa Pengiriman"
"Wahana Prestasi Logistik","4.4","50","Jl. Sadang Tengah IV No.9","Kota Bandung","Jawa Barat","ID","http://www.wahana.com/","+62 838-2166-6124","Perusahaan Ekspedisi",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wahana%20Prestasi%20Logistik&query_place_id=ChIJeb_iTKrnaC4RJqfpg3g6TL8","Perusahaan Ekspedisi"
"JNE Cemara","4.4","406","Jl. Cemara No.53","Kota Bandung","Jawa Barat","ID","http://www.jne.co.id/","+62 21 29278888","Jasa Kurir","Perusahaan","Toko",,,,,,"https://www.google.com/maps/search/?api=1&query=JNE%20Cemara&query_place_id=ChIJpdGD2vTmaC4RnOTlhl7oNG0","Jasa Kurir"
"JNE Gasibu","4.4","328","Jl. Surapati No.55","Kota Bandung","Jawa Barat","ID",,"+62 22 2531245","Jasa Kurir","Jasa Pengiriman Kargo",,,,,,,"https://www.google.com/maps/search/?api=1&query=JNE%20Gasibu&query_place_id=ChIJyT0gTbLnaC4RRC0RueWEdFs","Jasa Kurir"
"Jasa Antar Jemput Abodemen Anak sekolah",,,"Jl. Jatihandap Timur gang barokah 1 No.74","Kota Bandung","Jawa Barat","ID",,"+62 858-6070-8838","Jasa Kurir","Layanan Transportasi",,,,,,,"https://www.google.com/maps/search/?api=1&query=Jasa%20Antar%20Jemput%20Abodemen%20Anak%20sekolah&query_place_id=ChIJKehO4VbnaC4RFMa4Wvc-4hY","Jasa Kurir"
"Widji","4.3","142","Jl. Tamansari No.62","Kota Bandung","Jawa Barat","ID","http://www.widjiprinting.com/","+62 813-8388-8662","Layanan cetak digital","Toko Fotokopi",,,,,,,"https://www.google.com/maps/search/?api=1&query=Widji&query_place_id=ChIJnV3-g0_maC4RRLXADl2LmWQ","Layanan cetak digital"
"Q'ta Laundry Bandung (Muararajeun Lama 2 No.70 RT.04 RW.05-Surapati)","4.3","27","Kampung Wisata Sablon, Jl. Muararajeun Lama 2 Jl. Surapati No.70, RT./RW/RW.04/05","Kota Bandung","Jawa Barat","ID",,"+62 813-2239-8868","Binatu","Binatu Cucian Kering",,,,,,,"https://www.google.com/maps/search/?api=1&query=Q'ta%20Laundry%20Bandung%20(Muararajeun%20Lama%202%20No.70%20RT.04%20RW.05-Surapati)&query_place_id=ChIJ8c7M-rDnaC4RQmEzG0ns45M","Binatu"
"SpinKu Laundry Self Service & Drop Off Tubagus","5","147","Jl. Tubagus Ismail No.27B","Kota Bandung","Jawa Barat","ID","https://spinkulaundry.netlify.app/","+62 857-7777-8000","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SpinKu%20Laundry%20Self%20Service%20%26%20Drop%20Off%20Tubagus&query_place_id=ChIJmzIsewDnaC4R53LTDfH_qqc","Layanan Binatu"
"Bluewash Laundry 24jam Dipatiukur","4.9","94","Gg. Haur Pancuh II No.9","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/bluewash2018/","+62 878-7441-9946","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bluewash%20Laundry%2024jam%20Dipatiukur&query_place_id=ChIJPRvgj1nnaC4RQRqmNguey1s","Binatu"
"Sablon kaos Lamoecoat","4.9","7","Jl. Picung Gg.2 No.45, RT.001/RW./01","Kota Bandung","Jawa Barat","ID",,"+62 899-6062-009","Toko Sablon",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sablon%20kaos%20Lamoecoat&query_place_id=ChIJvwGr9XznaC4RcSHQbB_9v_E","Toko Sablon"
"Percetakan Sinar Pelita Bandung","4.6","141","Jl. Pagarsih No.13","Kota Bandung","Jawa Barat","ID","http://www.sinarpelitaprinting.com/","+62 822-6122-6262","Percetakan Komersial","Layanan cetak digital","Toko Percetakan",,,,,,"https://www.google.com/maps/search/?api=1&query=Percetakan%20Sinar%20Pelita%20Bandung&query_place_id=ChIJS0K7XxnmaC4RE2WiPhQqhRU","Percetakan Komersial"
"JNE","4","239","4J3V+H98, Jl. Cikutra","Kabupaten Bandung","Jawa Barat","ID",,"+62 22 61784073","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JNE&query_place_id=ChIJ5WiVNL3naC4RyEO3dodRde0","Jasa Pengiriman"
"BJ JURNALIS PERCETAKAN,POTO COPY, DIGITAL PRINTING BUKA 24 JAM","4.5","267","Jl. Cimincrang No.9A","Kota Bandung","Jawa Barat","ID",,"+62 821-2193-2121","Toko Percetakan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BJ%20JURNALIS%20PERCETAKAN%2CPOTO%20COPY%2C%20DIGITAL%20PRINTING%20BUKA%2024%20JAM&query_place_id=ChIJW9HyGGnpaC4Rf7jIJ6mw3wU","Toko Percetakan"
"Percetakan Triguna","5","1","JL. Sukaasih, No. 204-A, Girimekar, Cilengkrang","Kota Bandung","Jawa Barat","ID",,"+62 22 7805958","Toko Buku","Produsen",,,,,,,"https://www.google.com/maps/search/?api=1&query=Percetakan%20Triguna&query_place_id=ChIJe-kKfGrdaC4RMtSD-_NHUUo","Toko Buku"
"FedEx World Service Center","4.1","114","Jl. Sampurna No.12","Kota Bandung","Jawa Barat","ID","https://local.fedex.com/id-id/bandung/bdoa","+62 1 500 342","Layanan Surat","Jasa Kurir",,,,,,,"https://www.google.com/maps/search/?api=1&query=FedEx%20World%20Service%20Center&query_place_id=ChIJyz2ijF7maC4RMYKQk_nBlgA","Layanan Surat"
"Vector Print On Demand","4.9","967","Jl. Lengkong Besar No.64H","Kota Bandung","Jawa Barat","ID","https://taplink.cc/vectorprint","+62 811-2342-051","Percetakan Komersial",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vector%20Print%20On%20Demand&query_place_id=ChIJRX1ifILoaC4RFEqO9J4Vc-s","Percetakan Komersial"
"Laundry Express 2jam Mirai Laundry || Melayani Antar Jemput","4.4","165","Jl. Cisitu Lama No.11","Kota Bandung","Jawa Barat","ID",,"+62 822-9556-2095","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laundry%20Express%202jam%20Mirai%20Laundry%20%7C%7C%20Melayani%20Antar%20Jemput&query_place_id=ChIJO6FRioXnaC4Rd1YR3IcrQPA","Binatu"
"PERCETAKAN ""e-NON"" Dian WG","5","4","Jl. Sukaasih Raya Atas No.61","Kota Bandung","Jawa Barat","ID",,"+62 812-1442-7980","Kantor Perusahaan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=PERCETAKAN%20%22e-NON%22%20Dian%20WG&query_place_id=ChIJR9CCBnDdaC4RQQdSobUfqls","Kantor Perusahaan"
"Humaira salon muslimah","4.6","229","Jl. Tikukur No.8","Kota Bandung","Jawa Barat","ID",,"+62 821-2660-7183","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Humaira%20salon%20muslimah&query_place_id=ChIJZeWBVk3maC4R8M9dajc6G9Q","Salon Kecantikan"
"Kayu packing ( jasa panggilan ke tempat )","5","2",,,,,"https://www.facebook.com/share/196c1zBnz6/","+62 858-6203-3979","Jasa Pengiriman","Service establishment",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kayu%20packing%20(%20jasa%20panggilan%20ke%20tempat%20)&query_place_id=ChIJ8VqdyYsbkSwRZ33vw91AhdA","Jasa Pengiriman"
"Salon D'Zevas Beauty","4.9","96","Jl. Tubagus Ismail No.27C","Kota Bandung","Jawa Barat","ID","https://dzevasbeauty.com/","+62 858-7890-7261","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20D'Zevas%20Beauty&query_place_id=ChIJs5n09dvnaC4RJEVZS8eJD4o","Salon Kecantikan"
"Percetakan Amarta Media Permata Digital Printing","5","9","Jl. Cinangka","Kota Bandung","Jawa Barat","ID",,"+62 859-7523-0933","Layanan cetak digital","Biro Iklan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Percetakan%20Amarta%20Media%20Permata%20Digital%20Printing&query_place_id=ChIJW0bivu3DaC4RLgZIwH8VdAU","Layanan cetak digital"
"Hana Hair & Beauty Bar","4.9","55","Jl. Ir. H. Juanda No.462","Kabupaten Bandung","Jawa Barat","ID",,"+62 815-7359-9968","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hana%20Hair%20%26%20Beauty%20Bar&query_place_id=ChIJ9arhzJXnaC4RThFKmcj-ykk","Salon Kecantikan"
"INDAH LOGISTIK CIKUTRA BARAT","5","9","Jl. Cikutra Barat No.120","Kota Bandung","Jawa Barat","ID","https://indahonline.com/","+62 813-3330-8671","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=INDAH%20LOGISTIK%20CIKUTRA%20BARAT&query_place_id=ChIJ3WgUUJTnaC4RoVR33jJrm7A","Jasa Pengiriman"
"JNE Agen 066","4.3","24","4HVV+2G5, Jl. Sersan Bajuri","Kota Bandung","Jawa Barat","ID","http://www.tikijne.co.id/","+62 22 76489019","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JNE%20Agen%20066&query_place_id=ChIJNTUHxbnmaC4Rv_oTC8gUvO0","Jasa Pengiriman"
"Kanta Hair Salon","5","917","Jl. Dipati Ukur No.29","Kota Bandung","Jawa Barat","ID","http://kantasalon.carrd.co/","+62 851-2126-2873","Penata Rambut","Salon Kecantikan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Kanta%20Hair%20Salon&query_place_id=ChIJn4ShzjHnaC4ROU-B_5el9-A","Penata Rambut"
"Banteng Print","4.6","1787","Jl. Buah Batu No.31","Kota Bandung","Jawa Barat","ID","http://www.bantengprint.com/","+62 22 87327606","Percetakan Komersial","Toko Percetakan",,,,,,,"https://www.google.com/maps/search/?api=1&query=Banteng%20Print&query_place_id=ChIJRd2I76PpaC4RMihd2nklKL4","Percetakan Komersial"
"Lion Parcel - Cidadap Siliwangi","3.8","4","Jl. Siliwangi No.22","Kota Bandung","Jawa Barat","ID","https://lokasimitra.thelionparcel.com/lion-parcel-cidadap-siliwangi-jawa-barat-courier-service-kec-cidadap-bandung-502372/Home","+62 812-2163-2439","Jasa Pengiriman","Layanan E-Niaga","Jasa Pengiriman Kargo","Layanan Logistik","Layanan Surat","Gudang",,,"https://www.google.com/maps/search/?api=1&query=Lion%20Parcel%20-%20Cidadap%20Siliwangi&query_place_id=ChIJzyPrCZfnaC4RWNpL6Av5F18","Jasa Pengiriman"
"RESTY SALON BANDUNG","4.5","71","Jl. Babakan Surabaya No.17","Kota Bandung","Jawa Barat","ID",,"+62 896-5856-5156","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RESTY%20SALON%20BANDUNG&query_place_id=ChIJtcU3sOfnaC4RihYg2QG5EeA","Salon Rambut"
"Widya Salon","4.5","212","Jl. Sadakeling No.12","Kota Bandung","Jawa Barat","ID",,"+62 22 7301465","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Widya%20Salon&query_place_id=ChIJy5AM1IHoaC4RJiCcdfup38Y","Salon Kecantikan"
"DHL Service Point Pasteur","3.7","25","Jl. Dr. Djunjunan No.127","Kota Bandung","Jawa Barat","ID","http://dhl.co.id/","","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DHL%20Service%20Point%20Pasteur&query_place_id=ChIJ9RMuwWTmaC4RJNlpOmjIAv8","Jasa Kurir"
"Salon Anata","4.5","852","Jl. Emong No.14","Kota Bandung","Jawa Barat","ID","https://www.salonanata.com/","+62 22 7320575","Klinik Perawatan Kulit","Salon Kecantikan","Salon Rambut",,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20Anata&query_place_id=ChIJSbWPqivmaC4RfWRUPE3L970","Klinik Perawatan Kulit"
"Raja Salon","4.7","74","Jl. Babakan Baru No.5","Kota Bandung","Jawa Barat","ID",,"+62 812-1000-0561","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Raja%20Salon&query_place_id=ChIJtzncx5fnaC4RnEZArWApUMI","Salon Kecantikan"
"Salon Smooch Beauty Bar Bandung","4.9","110","Jl. Gatot Subroto No.28 Lt 1","Kota Bandung","Jawa Barat","ID","https://www.smoochbeautybar.com/","+62 812-9561-3601","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20Smooch%20Beauty%20Bar%20Bandung&query_place_id=ChIJ4VkTrSLnaC4RGr2QSxaMYoU","Salon Kecantikan"
"moz5 Salon Muslimah Burangrang","4.9","553","Jl. Buah Batu No.62","Kota Bandung","Jawa Barat","ID","http://www.moz5salonmuslimah.com/","+62 811-9790-521","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=moz5%20Salon%20Muslimah%20Burangrang&query_place_id=ChIJQVo28vLpaC4RFIqdX7U7okM","Salon Kecantikan"
"Urban's Travel Bandung Dipatiukur","3.7","6","Jl. Hasanudin No.28","Kota Bandung","Jawa Barat","ID","http://www.urbanstransport.co.id/","+62 821-2060-2002","Layanan Transportasi","Agen Sewa Mobil","Jasa Kurir","Layanan Logistik",,,,,"https://www.google.com/maps/search/?api=1&query=Urban's%20Travel%20Bandung%20Dipatiukur&query_place_id=ChIJm68CbwDnaC4RTwCNW45MmTg","Layanan Transportasi"
"Lexzi Salon","4.5","694","Jl. Bengawan No.37","Kota Bandung","Jawa Barat","ID",,"+62 22 7106602","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lexzi%20Salon&query_place_id=ChIJ8XMn2cjnaC4RQ4IdhuQtdjA","Salon Kecantikan"
"Salon Memori","3.9","890","Jl. Ir. H. Juanda No.185","Kota Bandung","Jawa Barat","ID",,"+62 22 2500476","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20Memori&query_place_id=ChIJ7R2Rz_jmaC4RuhSGnNohoyM","Salon Rambut"
"JNE Kokesma ITB","4.5","15","Gedung Labtek XIV (Gedung Freeport) ITB, Coblong","Kota Bandung","Jawa Barat","ID",,"","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JNE%20Kokesma%20ITB&query_place_id=ChIJuUTyFVjmaC4Ruqjz0K7HRKA","Jasa Kurir"
"LION PARCEL SUCI BANDUNG","4.6","33","Ruko Kampus Universitas Sangga Buana YPKP, Jl. Khp Hasan Mustopa No.70","Kota Bandung","Jawa Barat","ID",,"+62 896-5663-3778","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=LION%20PARCEL%20SUCI%20BANDUNG&query_place_id=ChIJme6C7b3naC4RZCCg65MBQBI","Jasa Pengiriman"
"MDOP OFFCIAL SEPATU BANDUNG","5","2","Jl. Sapujagat No.59, RT.3/RW.9","Kota Bandung","Jawa Barat","ID",,"","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=MDOP%20OFFCIAL%20SEPATU%20BANDUNG&query_place_id=ChIJz5boIQDnaC4Rb7P5rNODB7A","Jasa Kurir"
"Pandu Logistik","3","1","Jl. Terusan Tubagus Ismail Raya No.17","Kota Bandung","Jawa Barat","ID",,"+62 22 7052240","Jasa Pengiriman",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pandu%20Logistik&query_place_id=ChIJK-NedQDnaC4RPBIxx_wVy74","Jasa Pengiriman"
"Enno Salon","4.9","50","Jl. Karta Atmaja No.96b","Kota Bandung","Jawa Barat","ID",,"+62 813-2293-5577","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Enno%20Salon&query_place_id=ChIJk8MO0-3naC4RX3whyxtBOSM","Salon Kecantikan"
"Briwash Laundry Express - Setiabudi","5","476","Jl. Dr. Setiabudi No.111","Kota Bandung","Jawa Barat","ID","https://briwash.id/setiabudhi/","+62 811-2008-1011","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Briwash%20Laundry%20Express%20-%20Setiabudi&query_place_id=ChIJK6gTIgDnaC4RgEsFJgaQ3wM","Binatu"
"Dekat Barbershop 1.0","4.7","87","Jl. Martanegara No.102","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/dekatbarber/","+62 812-2279-3753","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dekat%20Barbershop%201.0&query_place_id=ChIJbbIw2TjpaC4RhWJh4DoeL3w","Tempat Cukur Rambut"
"Asistenku Courier and Cargo",,,"JL. Penghulu Haji Hasan Mustopa, Surapati Core Blok K-10, Bandung","Kota Bandung","Jawa Barat","ID",,"+62 22 93885091","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asistenku%20Courier%20and%20Cargo&query_place_id=ChIJxTFOf7vnaC4R8cZPcI3M2sw","Jasa Kurir"
"UNI.LABS LAUNDRY 24 JAM","4.9","87","Jl. Gegerkalong Girang No.44","Kota Bandung","Jawa Barat","ID",,"+62 896-7453-0780","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=UNI.LABS%20LAUNDRY%2024%20JAM&query_place_id=ChIJEe9XKgDnaC4RXucLH8lN-0A","Layanan Binatu"
"Laundry Hari Ini - Cihampelas","5","76","Jl. Boscha No.35","Kota Bandung","Jawa Barat","ID","https://laundry-hariini.com/","+62 811-1116-9689","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laundry%20Hari%20Ini%20-%20Cihampelas&query_place_id=ChIJu61kuqznaC4RMrMLFp6khE4","Layanan Binatu"
"R & D Dedi Salon","4.6","601","Jl. Sadakeling No.3","Kota Bandung","Jawa Barat","ID",,"+62 878-3662-2007","Salon Kecantikan","Salon Rambut",,,,,,,"https://www.google.com/maps/search/?api=1&query=R%20%26%20D%20Dedi%20Salon&query_place_id=ChIJUefB04HoaC4RbOrlltsSKKk","Salon Kecantikan"
"Kios Laundry Pangarang (Layanan Antar Jemput Bandung)","4.7","71","Jl. Pangarang No.28","Kota Bandung","Jawa Barat","ID",,"+62 813-2066-6778","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kios%20Laundry%20Pangarang%20(Layanan%20Antar%20Jemput%20Bandung)&query_place_id=ChIJrdu3gOznaC4RIfWoKzJUh64","Layanan Binatu"
"Caheum Printing Sublim","4.6","77","Jl. Khp Hasan Mustopa No.221","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/caheum_printing","+62 896-0411-1131","Toko Percetakan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Caheum%20Printing%20Sublim&query_place_id=ChIJY9SReHXnaC4RKhyzYa1livo","Toko Percetakan"
"Adelia salon bandung","4.5","202","Pinggir hepimart/martabak jayaraga, Jl. Margacinta No.25","Kota Bandung","Jawa Barat","ID",,"+62 822-9542-0822","Salon Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Adelia%20salon%20bandung&query_place_id=ChIJg26YvkboaC4RZ0XQZO3vcJQ","Salon Rambut"
"PT Yusca Corporation",,,"Jl. Gegerkalong Girang No.36B","Kota Bandung","Jawa Barat","ID",,"+62 22 2005133","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=PT%20Yusca%20Corporation&query_place_id=ChIJlWgYQrzmaC4Rxzd_Li1QgQo","Jasa Kurir"
"AERO CLEAN LAUNDRY BANDUNG","4.4","188","Jl. Reog No.58","Kota Bandung","Jawa Barat","ID","https://www.aerocleanlaundry.com/service-kami/","+62 811-2125-755","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=AERO%20CLEAN%20LAUNDRY%20BANDUNG&query_place_id=ChIJWZ4R8J_paC4Rol6XAUKtKso","Layanan Binatu"
"5asec Bandung","4.4","404","Jalan R.E. Martadinata No.58 Babakan Ciamis","Kota Bandung","Jawa Barat","ID","http://www.5asecindonesia.com/","+62 22 4238907","Layanan Binatu","Binatu Cucian Kering","Binatu",,,,,,"https://www.google.com/maps/search/?api=1&query=5asec%20Bandung&query_place_id=ChIJTWzSv0rmaC4RvyWNfL6FO-s","Layanan Binatu"
"Jasa travel nya di bandung",,,"Jl. Kp. Nyalindung Atas No.10","Kota Bandung","Jawa Barat","ID",,"+62 822-9598-4352","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jasa%20travel%20nya%20di%20bandung&query_place_id=ChIJ3zXPT2_naC4R8sMg-0lKdQM","Jasa Kurir"
"Johanna Lin Salon Setiabudhi","4.9","931","Jl. Dr. Setiabudi No.162","Kota Bandung","Jawa Barat","ID","https://instagram.com/byjohannalin?utm_medium=copy_link","+62 812-2158-9935","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Johanna%20Lin%20Salon%20Setiabudhi&query_place_id=ChIJ0501Ho3maC4R5aC2A59pI0E","Salon Kecantikan"
"The Caramel Salon & Treatment","5","42","Jl. Bukit Jarian No.44A, RT.01/RW.11","Kota Bandung","Jawa Barat","ID",,"+62 813-1674-768","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Caramel%20Salon%20%26%20Treatment&query_place_id=ChIJi4fhvzjnaC4ROAoEN_Njv0o","Salon Kecantikan"
"Tiki Agen","4.2","5","Jl. Khp Hasan Mustopa No.120 A Lt.2","Kota Bandung","Jawa Barat","ID",,"+62 877-2214-3690","Jasa Kurir",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tiki%20Agen&query_place_id=ChIJx5h47L3naC4RBHqe33Hygaw","Jasa Kurir"
"Sunshine Beauty Dago","4.8","93","Lima Building, Jl. Dago No.169B Lantai 1","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/sunshinebeautybandung/","+62 851-1768-2370","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sunshine%20Beauty%20Dago&query_place_id=ChIJgRu5j25Wy0EREPZ9u9kRcK8","Salon Kecantikan"
"Barokah Barbershop","4.6","7","Jl. Saip No.176 gelatik dalam no.383, Sadang 40133","Kota Bandung","Jawa Barat","ID",,"","Tempat Cukur Rambut",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Barokah%20Barbershop&query_place_id=ChIJoahf2aznaC4R2x4GI_PPTs0","Tempat Cukur Rambut"
"Sorcha Laundry Cihampelas (Laundry Antar Jemput Bandung)","4.9","670","Jl. Boscha No.33","Kota Bandung","Jawa Barat","ID","http://sorcha-cihampelas.com/","+62 811-1111-2731","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sorcha%20Laundry%20Cihampelas%20(Laundry%20Antar%20Jemput%20Bandung)&query_place_id=ChIJq_gfyQjnaC4RUCZZVuFvG_o","Layanan Binatu"
"Chingu Laundry Express Cihampelas","5","429","Jl. Boscha No.12","Kota Bandung","Jawa Barat","ID","https://chingu-laundry.com/outlet-post/chingu-laundry-cihampelas/","+62 811-2008-1012","Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chingu%20Laundry%20Express%20Cihampelas&query_place_id=ChIJ9dsQdQDnaC4Rp-Uz7bZ3SMo","Binatu"
"Huan's Salon","5","96","Gg. Bukit Sastra No.94","Kota Bandung","Jawa Barat","ID",,"+62 896-3070-5804","Salon Kecantikan",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Huan's%20Salon&query_place_id=ChIJ61DNnjDnaC4RNSpvWjtiQkg","Salon Kecantikan"
"DHL Express Service Point (DHL Express - Cihampelas Bandung)","4.8","113","Jl. Cihampelas No.110","Kota Bandung","Jawa Barat","ID","https://locator.dhl.com/results?address=id:BDOS01&language=en&lc=ID&resultUom=km&clientAppCode=GYD","+62 811-1703-4056","Jasa Kurir","Layanan Logistik","Layanan Surat","Layanan Pengiriman dan Pengeposan","Perusahaan Ekspedisi","Jasa Pengiriman",,,"https://www.google.com/maps/search/?api=1&query=DHL%20Express%20Service%20Point%20(DHL%20Express%20-%20Cihampelas%20Bandung)&query_place_id=ChIJ97IvN6bnaC4RVjICW14cRr8","Jasa Kurir"
"QuickDrop Laundry Express Bandung","5","20","Komp. Istana Mekar Wangi, Jl. H. Tatang Sumantri Jl. Moch. Toha No.4","Kota Bandung","Jawa Barat","ID","https://quickdrop.pesanlaundry.com/","+62 881-0824-42569","Layanan Binatu",,,,,,,,"https://www.google.com/maps/search/?api=1&query=QuickDrop%20Laundry%20Express%20Bandung&query_place_id=ChIJ8ZkneADpaC4RETAJ1VsXqWM","Layanan Binatu"
