"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Bengkel Motor Dinasty","1.3","9","Jl. Dr. Setiabudi No.22","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Dinasty&query_place_id=ChIJEQmebpnnaC4RfuHq8J8ta7w","Bengkel Sepeda Motor"
"Fajar Motor","5","1","Jl. Sadang Serang No.18","Kota Bandung","Jawa Barat","ID",,"+62 821-1506-0990","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fajar%20Motor&query_place_id=ChIJwSfzUarnaC4RdDeUeMNVbRE","Bengkel Sepeda Motor"
"Bengkel Motor Pa Asep","5","2","Jl. Cipedes Tengah","Kota Bandung","Jawa Barat","ID","https://www.tiktok.com/@bengkelpasep?_r=1&_t=ZS-9566j3VOAJs","+62 882-0018-17331","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Pa%20Asep&query_place_id=ChIJJRuUxZ3naC4RyA8XauY8RVE","Bengkel Sepeda Motor"
"Bengkel Motor Pahlawan BAM","2","1","Jl. Sidomukti No.99c","Kota Bandung","Jawa Barat","ID",,"+62 22 2514545","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Pahlawan%20BAM&query_place_id=ChIJf8oHvqXnaC4RUcSbPRMmnCA","Bengkel Sepeda Motor"
"Gtr Racing Team","5","8","Gg. Pelesiran X No.100","Kota Bandung","Jawa Barat","ID","https://www.instagram.com/gtr_racingteam/","+62 896-3048-8858","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gtr%20Racing%20Team&query_place_id=ChIJ60l5v83laC4RPuDO5jk0Sck","Bengkel Motor Skuter"
"Apotik Surya Bunda","5","4","Jl. Sukajadi No.630","Kota Bandung","Jawa Barat","ID","https://poltekkeskemenkes.id/Bandung-Apotik-Surya-Bunda.html","+62 22 2032986","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Surya%20Bunda&query_place_id=ChIJAZA8vormaC4RU1QlfnTzIjM","Apotek"
"Klinik Asri Husada II","3.5","98","Jl. Titiran No.16","Kota Bandung","Jawa Barat","ID","https://asrihusada2.id/","+62 22 20451344","Dokter Umum","Dokter Gigi",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Klinik%20Asri%20Husada%20II&query_place_id=ChIJp9bHmVLmaC4RvuvWue397xY","Dokter Umum"
"Bj Bengkel Motor",,,"Jl. Dr. Djunjunan No.24","Kota Bandung","Jawa Barat","ID",,"+62 813-2429-5767","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bj%20Bengkel%20Motor&query_place_id=ChIJzTS9-WTmaC4R0d8uhdWQsXU","Bengkel Mobil"
"Service Motor","5","2","4H4M+GH7, Jl. Sukawarna","Kota Bandung","Jawa Barat","ID",,"","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Service%20Motor&query_place_id=ChIJPRE_ZXvmaC4RSDrNCztzLVQ","Bengkel Mobil"
"Awank Motor","4.2","12","Jl. Cemara No.75","Kota Bandung","Jawa Barat","ID",,"+62 852-2134-9778","Bengkel Ganti Oli",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Awank%20Motor&query_place_id=ChIJIyq8zfTmaC4RhhQrjM0ZjWg","Bengkel Ganti Oli"
"Family Motor Bengkel","5","3","Jl. Cimuncang No.43","Kota Bandung","Jawa Barat","ID",,"+62 852-9500-1777","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Family%20Motor%20Bengkel&query_place_id=ChIJH-1KoZbnaC4REdlVXdBQmQE","Bengkel Mobil"
"BENGKEL MOTOR MUTBER","5","1","Jl. Kp Jl. Pasir Kaliki Barat No.27, RT.08/RW.15","Kota Bandung","Jawa Barat","ID","https://rachmathidaandara.blogspot.com/2024/12/bengkel-motor-lakoni-bengkel-motor.html","+62 896-7910-0402","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20MUTBER&query_place_id=ChIJR0PGKQDnaC4R9YM_6A-VnQM","Bengkel Sepeda Motor"
"bengkel motor faisaldipoera","5","2",,,,,,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20faisaldipoera&query_place_id=ChIJS_msdrbnaC4RooMeQxtmtbs",
"Apotek Syifa Farma","3.6","41","Jl. Gegerkalong Girang No.65 A","Kota Bandung","Jawa Barat","ID",,"+62 22 2012492","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Syifa%20Farma&query_place_id=ChIJU85DRrzmaC4RHh-qpBe_QGc","Apotek"
"Amang Bengkel Motor","5","9","4J2W+HRG","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amang%20Bengkel%20Motor&query_place_id=ChIJZ9UMKZTnaC4RmnF6OVrWN0E","Bengkel Sepeda Motor"
"A.Z.R bengkel motor","5","1","Jl. Bukit Raya Atas","Kota Bandung","Jawa Barat","ID",,"+62 838-7493-4274","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A.Z.R%20bengkel%20motor&query_place_id=ChIJj_wKLwDnaC4RRJdu_8JN09Q","Bengkel Sepeda Motor"
"Bengkel Motor Mabez Garage","5","13","Jl. Muhamad No.320 B","Kota Bandung","Jawa Barat","ID",,"+62 857-0359-9250","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Mabez%20Garage&query_place_id=ChIJh_obhvrnaC4Rw5kcNo9foL4","Bengkel Sepeda Motor"
"Bengkel motor/Iday Jasa Crom","5","4","Gg. Pancasila No.8","Kota Bandung","Jawa Barat","ID",,"+62 818-0429-6305","Akomodasi berlayanan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%2FIday%20Jasa%20Crom&query_place_id=ChIJwRyzdIfnaC4R4zXlaUhqZe0","Akomodasi berlayanan"
"BENGKEL MOTOR KKRC (DOGLO CREW)","5","1","Pinggir paud darussholihin, Jl. Rancabentang Dalam, RT./rw/RW.03/06","Kota Bandung","Jawa Barat","ID",,"+62 831-7677-5919","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20KKRC%20(DOGLO%20CREW)&query_place_id=ChIJpRLvSwDdaC4RgPYxN4j8rjs","Bengkel Sepeda Motor"
"Jasa Prima Rental Motor Dan Mobil Bandung","3.1","200","Jl. Dr. Djunjunan No.103","Kota Bandung","Jawa Barat","ID","https://jasaprimarental.com/","+62 818-0207-1733","Penyewaan Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jasa%20Prima%20Rental%20Motor%20Dan%20Mobil%20Bandung&query_place_id=ChIJMY7NPmjmaC4RHVN-iZu-8gc","Penyewaan Sepeda Motor"
"bengkel motor Team Rusuh97","5","2","Jl. Cikutra Barat No.97, RT.06/RW.06","Kota Bandung","Jawa Barat","ID",,"+62 821-1646-9237","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20Team%20Rusuh97&query_place_id=ChIJ12NBda7naC4RGQ6ldEec4X0","Bengkel Sepeda Motor"
"Bengkel motor Aira 11","4.7","22","Melania, Jl. Melania No.7","Kota Bandung","Jawa Barat","ID",,"+62 855-5926-5559","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20Aira%2011&query_place_id=ChIJb_c2exrnaC4ROXQzlGkBdmM","Bengkel Sepeda Motor"
"Shakila Rental Motor","4.2","548","Jl. Gagak No.9","Kota Bandung","Jawa Barat","ID","http://rentalsepedamotordibandung.blogspot.com/","+62 812-8970-6875","Penyewaan Sepeda Motor","Agen Sewa Mobil",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shakila%20Rental%20Motor&query_place_id=ChIJQ6Rth63naC4RG8v9wLPHqDY","Penyewaan Sepeda Motor"
"Bengkel Motor Anugrah (Malam hari Nasi Goreng dan Soto & Pecel)","4.7","3","Jl. Cibeunying Kolot No.21","Kota Bandung","Jawa Barat","ID",,"","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Anugrah%20(Malam%20hari%20Nasi%20Goreng%20dan%20Soto%20%26%20Pecel)&query_place_id=ChIJ8eYbEKnnaC4RQ1xq9lNIcJU","Bengkel Motor Skuter"
"Wuling Maju Motor Bandung","4.6","204","Jl. Dr. Setiabudi No.43","Kota Bandung","Jawa Barat","ID","https://wulingmajumotor.id/bandung/","+62 22 82045555","Dealer mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wuling%20Maju%20Motor%20Bandung&query_place_id=ChIJSVbIMinnaC4Rv4a2T6kzhT8","Dealer mobil"
"Bengkel Motor DMT",,,"Jl. Jurang No.31-37","Kota Bandung","Jawa Barat","ID",,"","Kantor Perusahaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20DMT&query_place_id=ChIJYZcZnF_maC4R5b92xM0EBEQ","Kantor Perusahaan"
"Bengkel Motor Pak Endang","5","6","Kp Cihanja, RT.02 RW10/RW.No.118","Kota Bandung","Jawa Barat","ID",,"+62 853-1783-0824","Bengkel Sepeda Motor","Montir",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Pak%20Endang&query_place_id=ChIJfYmzlNTnaC4R7A6RGue5Dho","Bengkel Sepeda Motor"
"bengkel motor pak uu","4","3","4J99+MMF","Kota Bandung","Jawa Barat","ID",,"","Bengkel Motor Elektrik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20pak%20uu&query_place_id=ChIJbe7Oz_3maC4RcqXkI3wbzIc","Bengkel Motor Elektrik"
"bengkel motor Cepi EMRT",,,"Jalan Batu Rengat No.rt 01","Kota Bandung","Jawa Barat","ID",,"+62 895-3290-72332","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20Cepi%20EMRT&query_place_id=ChIJNdCEIQDnaC4RHFH1WHAW5eo","Bengkel Sepeda Motor"
"Bengkel Vespa MSRT","5","3","Jl. Sukahaji","Kota Bandung","Jawa Barat","ID",,"+62 856-2464-6895","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Vespa%20MSRT&query_place_id=ChIJH_8bVrLnaC4RcCCD3Z9yHu8","Bengkel Motor Skuter"
"Bengkel motor dani","5","2","Jl. Sukagalih II No.46","Kota Bandung","Jawa Barat","ID",,"+62 831-9539-2479","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20dani&query_place_id=ChIJdZY8H7_naC4RjDmGyYjS49c","Bengkel Sepeda Motor"
"Bengkel motor AMS (Adly motor sport)","5","1","4M32+27X, Jl. Terusan Cimuncang","Kota Bandung","Jawa Barat","ID",,"+62 857-9360-3008","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20AMS%20(Adly%20motor%20sport)&query_place_id=ChIJh95SMZfnaC4RlXDuxYhxDMU","Bengkel Sepeda Motor"
"Helen Motor","4.2","12","Jl. Terusan Pak Gatot Raya No.13","Kota Bandung","Jawa Barat","ID",,"+62 821-1607-6099","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Helen%20Motor&query_place_id=ChIJmdzW7LzmaC4RqWqq7mYcVWo","Bengkel Sepeda Motor"
"Bengkel.motor FERI",,,"4H5R+39H warung aang, RT.21/RW.12 gang","Kota Bandung","Jawa Barat","ID",,"+62 821-2545-5510","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel.motor%20FERI&query_place_id=ChIJ-ev4HgDnaC4RWq98d9ASHIo","Bengkel Sepeda Motor"
"'BENGKEL GADUN GARAGE TEKNO'","5","4","Jl. Babakan Baru","Kota Bandung","Jawa Barat","ID","https://instagram.com/kali500_?igshid=MzNlNGNkZWQ4Mg==","+62 831-6024-9124","Bengkel Motor Skuter","Bengkel Bongkar Pasang Mesin","Bengkel Sepeda Motor","Bengkel Ganti Oli",,,,,,,"https://www.google.com/maps/search/?api=1&query='BENGKEL%20GADUN%20GARAGE%20TEKNO'&query_place_id=ChIJ96Lxl2bnaC4RCtUPx2tDEGc","Bengkel Motor Skuter"
"Bengkel Motor Sibatu","5","1","Jl. Khp Hasan Mustopa No.36","Kota Bandung","Jawa Barat","ID",,"+62 831-3379-1922","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Sibatu&query_place_id=ChIJxyqM-uPnaC4R-yycqz_8qmg","Bengkel Sepeda Motor"
"Bengkel motor nanda puspita . Kampungci hanja",,,,,,,,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20nanda%20puspita%20.%20Kampungci%20hanja&query_place_id=ChIJye0veQDnaC4R7HMvEWUo08o",
"Bengkel Motor Tune Up","4.3","3","Jl. Kiputih No 12.Dalam RT 07/05","Kota Bandung","Jawa Barat","ID",,"+62 858-8453-3679","Bengkel Tune Up",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Tune%20Up&query_place_id=ChIJxQ9W6efmaC4Rs0gkmu1wF38","Bengkel Tune Up"
"Bengkel motor I.M.S",,,"Jl. Negla pojok No.51Isola","Kota Bandung","Jawa Barat","ID",,"+62 838-4140-7929","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20I.M.S&query_place_id=ChIJoSDFGQDnaC4RmVvg3pVe7JY","Bengkel Sepeda Motor"
"Bengkel Motor ""Pandawa Motor""","5","1","Jl. Singa Perbangsa No.103-1","Kota Bandung","Jawa Barat","ID",,"","Kantor Perusahaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20%22Pandawa%20Motor%22&query_place_id=ChIJvd0fRgXnaC4R3opHMIM_MKs","Kantor Perusahaan"
"Cikutra Motor","3.9","26","Jl. Cikutra No.201","Kota Bandung","Jawa Barat","ID",,"+62 22 61469395","Bengkel Mobil",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cikutra%20Motor&query_place_id=ChIJ7YbHD6PnaC4R6V4A2JcBLOo","Bengkel Mobil"
"RUMAH LAMMY BANDUNG",,,"Jl. Tubagus Ismail VIII No.56","Kota Bandung","Jawa Barat","ID",,"+62 811-1112-1999","Bengkel Motor Skuter",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RUMAH%20LAMMY%20BANDUNG&query_place_id=ChIJKXQq2zLnaC4RyePRjVDyI28","Bengkel Motor Skuter"
"bengkel motor mamang",,,"Jl. Sadang Serang No.29","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20motor%20mamang&query_place_id=ChIJE4wiPgDnaC4RjslsUzEyXus","Bengkel Sepeda Motor"
"bengkel Motor",,,"4H7P+9XW, kp","Kota Bandung","Jawa Barat","ID",,"+62 853-2008-3433","Kantor Perusahaan",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=bengkel%20Motor&query_place_id=ChIJPcCllKfnaC4RVlQ_qaNV9MU","Kantor Perusahaan"
"dr Amelia DN Sugiharta, SpKJ (Praktik Psikiatri) - Apotek Baladewa Farma 3","5","24","Jl. Gegerkalong Hilir No.65","Kota Bandung","Jawa Barat","ID",,"+62 822-6034-3387","Klinik Medis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=dr%20Amelia%20DN%20Sugiharta%2C%20SpKJ%20(Praktik%20Psikiatri)%20-%20Apotek%20Baladewa%20Farma%203&query_place_id=ChIJJULkSf_naC4RXjQcsYFoiD0","Klinik Medis"
"Bengkel Motor A Agus",,,"Jl. Rereongan Sarupi No.91","Kota Bandung","Jawa Barat","ID",,"+62 831-7710-5099","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20A%20Agus&query_place_id=ChIJe8gFDADnaC4RXgFvc3YSfqE","Bengkel Sepeda Motor"
"Bengkel motor",,,"4J4W+G5X DS cintamulya, Dsn Cibungur Gg.Persib, RT.15/RW.5","Kota Bandung","Jawa Barat","ID",,"+62 896-3004-4845","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor&query_place_id=ChIJ5XjYDwDnaC4RdrwOmJMOwHY","Bengkel Sepeda Motor"
"Apotik Moria","4.3","36","Jl. Cikutra No.148","Kota Bandung","Jawa Barat","ID",,"+62 22 7273096","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotik%20Moria&query_place_id=ChIJWe0F573naC4RLB_HZUsU4L0","Apotek"
"Apotek Gerlong Girang","4.8","25","Jl. Gegerkalong Girang Baru No.2D","Kota Bandung","Jawa Barat","ID",,"+62 882-2090-3610","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Gerlong%20Girang&query_place_id=ChIJq6ytaQvnaC4Rus6Y4M4VxDQ","Apotek"
"Apotek Ciumbuleuit","4","34","Jl. Ciumbuleuit No.170","Kota Bandung","Jawa Barat","ID",,"+62 877-8755-5527","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Ciumbuleuit&query_place_id=ChIJc-xyglvnaC4RgKiPwZSv49U","Apotek"
"BENGKEL MOTOR AWEEL-ATHEN",,,"Jl. Haji Yasin No.78","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BENGKEL%20MOTOR%20AWEEL-ATHEN&query_place_id=ChIJX964BADnaC4R4gA4-0i7TZg","Bengkel Sepeda Motor"
"Bengkel motor trail mang Cece",,,"4J5G+C46","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20trail%20mang%20Cece&query_place_id=ChIJMax_PwDnaC4RPT_loG2Uz2s","Bengkel Sepeda Motor"
"Bengkel motor putra mandiri","3","10","Jl. Terusan Pak Gatot Raya No.29","Kota Bandung","Jawa Barat","ID",,"","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20putra%20mandiri&query_place_id=ChIJR19yOQDnaC4ROgsQbZY7Sqs","Bengkel Sepeda Motor"
"Apotek Eyckmana","3.6","10","Jl. Sersan Bajuri No.55","Kota Bandung","Jawa Barat","ID",,"+62 22 2015515","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Eyckmana&query_place_id=ChIJobr_SbfmaC4RqH-S2D8-tYE","Apotek"
"PJM(bengkel motor)","4.1","33","Jalan Cemara No.33 Pasteur Kecamatan Sukajadi Sebelah Timur, Jl. Cemara Selatan","Kota Bandung","Jawa Barat","ID",,"+62 813-2031-7898","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PJM(bengkel%20motor)&query_place_id=ChIJt8mZ2bbnaC4Rfr9b1vXxN0Q","Bengkel Sepeda Motor"
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5","5","Jl. Khp Hasan Mustopa No.46","Kota Bandung","Jawa Barat","ID",,"+62 895-6330-77543","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DISINIADASETANG%20(Jasa%20Roll%20Pipa%20%26%20Bengkel%20Motor%20Custom%20)&query_place_id=ChIJBUEqHgDnaC4RXovIASM4DYQ","Bengkel Sepeda Motor"
"TAMBAL BAN TUBLES & BENGKEL MOTOR 24 JAM",,,"4J2P+MCF","Kota Bandung","Jawa Barat","ID",,"+62 831-3390-3669","Bengkel tambal ban",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TAMBAL%20BAN%20TUBLES%20%26%20BENGKEL%20MOTOR%2024%20JAM&query_place_id=ChIJsU5IAgDnaC4R0s4KzgciN3Q","Bengkel tambal ban"
"DU Motor","3.2","33","Jl. Dipati Ukur No.232","Kota Bandung","Jawa Barat","ID",,"+62 857-9512-7075","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DU%20Motor&query_place_id=ChIJUxE1cVTmaC4RG3e6v6i3nBc","Bengkel Sepeda Motor"
"Bengkel motor Iwan sutisna",,,"Jl. Negla pojok No.51","Kota Bandung","Jawa Barat","ID",,"+62 838-4140-7929","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20motor%20Iwan%20sutisna&query_place_id=ChIJUQ8MWQDnaC4RJtP-sCsOW58","Bengkel Sepeda Motor"
"Apotek An Nur","3","4","Jl. Dr. Setiabudhi No. 63","Kota Bandung","Jawa Barat","ID",,"+62 22 2031922","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20An%20Nur&query_place_id=ChIJjUhphjXhaC4Rt1ywN4fepdw","Apotek"
"Maisan jaya motor","3.8","4","Jl. Cihampelas No.292","Kota Bandung","Jawa Barat","ID",,"+62 898-7188-055","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Maisan%20jaya%20motor&query_place_id=ChIJAVKeDvbmaC4RvKn11JSLXaE","Bengkel Sepeda Motor"
"Apotek Medistra","4.1","9","Jl. Terusan Cikutra Baru No.20a","Kota Bandung","Jawa Barat","ID",,"+62 858-7089-4273","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Medistra&query_place_id=ChIJdWvV4aLnaC4RKKM4nnzwfR0","Apotek"
"VIVA Apotek Djuanda","4.2","55","Jl. H.Djuanda No.139","Kota Bandung","Jawa Barat","ID","https://vivaapotek.co.id/","+62 822-4633-8389","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VIVA%20Apotek%20Djuanda&query_place_id=ChIJHyKOeQ7laC4RuJ0dE8F4_AM","Apotek"
"Cahaya Motor","4.6","5","4J69+FWX, Jl. Tubagus Ismail Dalam","Kota Bandung","Jawa Barat","ID",,"+62 857-1055-7424","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cahaya%20Motor&query_place_id=ChIJjRgCGVXmaC4RzxyQc3k5OzQ","Bengkel Sepeda Motor"
"Bengkel Sukasari Motor","3.5","51","Jl. Suparmin Jl. Sukawarna No.36 a","Kota Bandung","Jawa Barat","ID",,"+62 856-2420-7790","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Sukasari%20Motor&query_place_id=ChIJ7fps8vznaC4RCLJv7HrTF6Q","Bengkel Sepeda Motor"
"Apotek Dhe Farma","4.4","36","Jl. Sukahaji No.90","Kota Bandung","Jawa Barat","ID",,"+62 852-1649-6040","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Dhe%20Farma&query_place_id=ChIJ6d8siWvnaC4RKjXhPF-_BQ4","Apotek"
"Karya Motor","4.4","13","Jl. Cikutra Barat No.6","Kota Bandung","Jawa Barat","ID","https://youtube.com/andriosamah","+62 852-3445-6428","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Karya%20Motor&query_place_id=ChIJa8dW6qXnaC4Rd4TMJQPgxZA","Bengkel Sepeda Motor"
"Apotek Adora","4.7","72","Jl. Cigadung Selatan No.1A","Kabupaten Bandung","Jawa Barat","ID","https://adoraeducare.my.canva.site/","+62 813-9459-7073","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Adora&query_place_id=ChIJzS7hD6rnaC4RL1S2pdJAohQ","Apotek"
"OKI Motor","4.8","27","Jl. Tubagus Ismail Dalam No.46","Kota Bandung","Jawa Barat","ID",,"+62 823-1834-8781","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OKI%20Motor&query_place_id=ChIJIVVgwlXmaC4RbKLscUOvqj4","Bengkel Sepeda Motor"
"Apotek Atminah","4.2","5","Jl. Jurang No.No","Kota Bandung","Jawa Barat","ID",,"","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Atminah&query_place_id=ChIJC-XKcPXmaC4Rt9oTjLh5XCA","Apotek"
"Bengkel Motor Arif All","4.1","24","Dekat Masjid Al-Hidayah, Jalan Kebon Kembang Gang Panca indra No.222 Tamansari","Kota Bandung","Jawa Barat","ID",,"+62 858-2611-2739","Bengkel Sepeda Motor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bengkel%20Motor%20Arif%20All&query_place_id=ChIJbVmHc0XmaC4R6CI6ybtaIH8","Bengkel Sepeda Motor"
"Apotek Mega Farma","4.1","8","Jl. Sukamulya No.17","Kota Bandung","Jawa Barat","ID",,"","Toko Obat Organik","Apotek",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Mega%20Farma&query_place_id=ChIJGc1AmmLmaC4RA54HxqKJ8vc","Toko Obat Organik"
"Kimia Farma Ciumbuleuit","4.7","178","Jl. Ciumbuleuit No.73","Kota Bandung","Jawa Barat","ID","http://kimiafarmaapotek.co.id/","+62 811-2157-667","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kimia%20Farma%20Ciumbuleuit&query_place_id=ChIJHYhAX_HmaC4RmSbF0xZ5uM8","Apotek"
"Apotek Adista","4.4","9","Jl. Citarum No.39","Kota Bandung","Jawa Barat","ID",,"+62 22 7103821","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Adista&query_place_id=ChIJD3jGgbPnaC4RVo9LV9M5JIQ","Apotek"
"Apotek Fazza Tikukur","4.4","39","Jl. Tikukur No.30 B","Kota Bandung","Jawa Barat","ID",,"+62 821-1441-7887","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Fazza%20Tikukur&query_place_id=ChIJye77L7XnaC4RFE3tVT_ZxAw","Apotek"
"Apotek Arsaya",,,"Jl. Ciumbuleuit No.109","Kota Bandung","Jawa Barat","ID","https://klinikarsaya.com/apotek","+62 813-3885-4439","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Apotek%20Arsaya&query_place_id=ChIJM_sMv7jnaC4Rw8x0D94WC40","Apotek"
"Rumah Sakit Kartini Bandung","4.2","573","Jl. Pahlawan No.48","Kota Bandung","Jawa Barat","ID","http://rskartini.id/","+62 22 7200715","Klinik Medis","Dokter","Laboratorium Diagnosis Citra Medis","Laboratorium Medis","Apotek",,,,,,"https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Kartini%20Bandung&query_place_id=ChIJ64eVP6XnaC4R1qEbO2TOwGM","Klinik Medis"
"Asih Apotek",,,"Jl. Cipaganti No. 79 Pasteur Sukajadi Bandung Jawa Barat","Kota Bandung","Jawa Barat","ID",,"+62 22 2032405","Apotek",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asih%20Apotek&query_place_id=ChIJd87JoormaC4Rn2BMNjYLprU","Apotek"
